año;leche_mg;leche_mp
2002-12;6,37;4,68
2003-01;6,89;5,06
2003-02;6,90;5,13
2003-03;6,79;5,11
2003-04;6,79;4,99
2003-05;6,66;5,05
2003-06;6,65;4,99
2003-07;7,15;5,24
2003-08;7,02;5,13
2003-09;7,26;5,50
2003-10;7,60;5,51
2003-11;7,63;5,45
2003-12;6,93;4,95
2004-01;7,09;5,10
2004-02;6,72;5,03
2004-04;6,82;5,28
2004-05;6,83;5,37
2004-06;7,99;5,91
2004-07;7,43;5,67
2004-08;6,90;5,45
2004-09;7,53;5,71
2004-10;7,85;5,93
2004-11;7,78;5,86
2004-12;7,00;5,23
2005-01;6,69;5,07
2005-02;6,77;5,36
2005-03;6,67;5,14
2005-04;6,61;4,95
2005-05;6,71;4,98
2005-06;6,71;5,10
2005-07;7,12;5,29
2005-08;7,25;5,38
2005-09;7,41;5,54
2005-10;7,49;5,62
2005-11;7,38;5,61
2005-12;7,21;5,48
2006-01;7,00;5,40
2006-02;6,96;5,41
2006-03;6,64;5,15
2006-04;6,46;5,11
2006-05;6,51;5,06
2006-06;6,95;5,17
2006-07;6,95;5,22
2006-08;7,14;5,39
2006-09;7,03;5,39
2006-10;7,33;5,54
2006-11;7,36;5,47
2006-12;7,40;5,44
2007-01;7,26;5,27
2007-02;7,30;5,27
2007-03;6,95;5,10
2007-04;6,71;5,00
2007-05;6,97;5,10
2007-06;7,18;5,18
2007-07;7,26;5,21
2007-08;7,37;5,27
2007-09;7,68;5,45
2007-10;7,90;5,73
2007-11;7,96;5,66
2007-12;7,52;5,37
2008-01;7,20;5,22
2008-02;6,97;5,17
2008-03;6,81;5,14
2008-04;6,69;5,14
2008-05;6,59;5,18
2008-06;6,91;5,22
2008-07;6,91;5,28
2008-08;6,91;5,36
2008-09;7,46;5,73
2008-10;7,58;5,79
2008-11;7,85;5,87
2008-12;7,87;5,90
2009-01;7,15;5,62
2009-02;6,98;5,53
2009-03;6,45;5,27
2009-04;6,57;5,30
2009-05;6,94;5,38
2009-06;7,01;5,34
2009-07;7,03;5,23
2009-08;7,02;5,29
2009-09;7,30;5,60
2009-10;7,41;5,67
2009-11;7,56;5,72
2009-12;7,78;5,75
2010-01;7,65;5,78
2010-02;7,30;5,66
2010-03;7,05;5,48
2010-04;6,81;5,35
2010-05;6,88;5,38
2010-06;6,80;5,32
2010-07;6,67;5,28
2010-08;6,94;5,41
2010-09;7,53;5,80
2010-10;7,94;6,00
2010-11;8,09;6,09
2010-12;7,96;5,96
2011-01;7,60;5,77
2011-02;7,31;5,59
2011-03;7,02;5,53
2011-04;6,79;5,41
2011-05;6,84;5,35
2011-06;6,90;5,32
2011-07;6,89;5,38
2011-08;6,96;5,49
2011-09;7,60;5,74
2011-10;7,93;6,23
2011-11;7,95;6,20
2011-12;7,69;5,85
2012-01;7,54;5,73
2012-02;7,54;5,69
2012-03;7,14;5,40
2012-04;6,98;5,38
2012-05;6,98;5,30
2012-06;6,80;5,15
2012-07;7,15;5,50
2012-08;6,97;5,42
2012-09;7,57;5,80
2012-10;7,73;5,88
2012-11;8,11;6,19
2012-12;8,24;5,97
2013-01;7,82;5,95
2013-02;7,29;5,78
2013-03;7,12;5,52
2013-04;6,96;5,42
2013-05;7,09;5,52
2013-06;7,27;5,53
2013-07;7,10;5,41
2013-08;7,15;5,41
2013-09;7,41;5,56
2013-10;7,81;5,73
2013-11;7,82;5,93
2013-12;7,57;5,77
2014-01;7,27;5,53
2014-02;7,16;5,48
2014-03;6,88;5,29
2014-04;6,51;5,06
2014-05;6,73;5,13
2014-06;6,89;5,25
2014-07;6,98;5,46
2014-08;7,18;5,64
2014-09;7,52;5,87
2014-10;7,92;6,01
2014-11;8,03;6,07
2014-12;7,85;5,89
2015-01;7,52;5,73
2015-02;7,35;5,56
2015-03;6,76;5,36
2015-04;6,73;5,23
2015-05;6,87;5,12
2015-06;6,95;5,21
2015-07;6,81;5,22
2015-08;7,29;5,53
2015-09;7,67;5,85
2015-10;7,82;5,91
2015-11;8,00;5,98
2015-12;7,60;5,77
2016-01;7,45;5,61
