año;leche_mg;leche_mp
2002-12;3,71;3,19
2003-01;3,88;3,23
2003-02;3,77;3,17
2003-03;3,71;3,16
2003-04;3,85;3,13
2003-05;3,69;3,10
2003-06;3,66;3,04
2003-07;3,55;3,07
2003-08;3,60;3,11
2003-09;3,65;3,20
2003-10;3,72;3,23
2003-11;3,81;3,31
2003-12;3,80;3,26
2004-01;3,75;3,21
2004-02;3,71;3,18
2004-03;3,69;3,17
2004-04;3,76;3,16
2004-05;3,68;3,14
2004-06;3,60;3,04
2004-07;3,50;3,05
2004-08;3,60;3,07
2004-09;3,76;3,15
2004-10;3,80;3,19
2004-11;3,83;3,20
2004-12;3,87;3,23
2005-01;3,77;3,25
2005-02;3,81;3,20
2005-03;3,81;3,17
2005-04;3,67;3,13
2005-05;3,67;3,12
2005-06;3,67;3,11
2005-07;3,70;3,11
2005-08;3,65;3,13
2005-09;3,80;3,18
2005-10;3,98;3,21
2005-11;3,86;3,24
2005-12;3,90;3,26
2006-01;3,88;3,22
2006-02;3,80;3,20
2006-03;3,83;3,17
2006-04;3,74;3,17
2006-05;3,70;3,14
2006-06;3,58;3,12
2006-07;3,60;3,13
2006-08;3,60;3,16
2006-09;3,74;3,20
2006-10;3,86;3,24
2006-11;3,91;3,29
2006-12;3,86;3,32
2007-01;3,90;3,27
2007-02;3,90;3,22
2007-03;3,85;3,22
2007-04;3,74;3,19
2007-05;3,70;3,20
2007-06;3,67;3,16
2007-07;3,68;3,15
2007-08;3,65;3,16
2007-09;3,69;3,23
2007-10;3,76;3,33
2007-11;3,86;3,39
2007-12;3,75;3,37
2008-01;3,71;3,27
2008-02;3,67;3,22
2008-03;3,64;3,21
2008-04;3,68;3,21
2008-05;3,63;3,18
2008-06;3,60;3,15
2008-07;3,60;3,15
2008-08;3,61;3,17
2008-09;3,68;3,20
2008-10;3,75;3,33
2008-11;3,82;3,37
2008-12;3,86;3,35
2009-01;3,74;3,29
2009-02;3,72;3,25
2009-03;3,65;3,19
2009-04;3,63;3,22
2009-05;3,56;3,17
2009-06;3,53;3,14
2009-07;3,53;3,12
2009-08;3,50;3,14
2009-09;3,60;3,27
2009-10;3,73;3,35
2009-11;3,80;3,39
2009-12;3,77;3,38
2010-01;3,76;3,35
2010-02;3,74;3,32
2010-03;3,65;3,30
2010-04;3,58;3,26
2010-05;3,53;3,23
2010-06;3,47;3,19
2010-07;3,48;3,12
2010-08;3,55;3,17
2010-09;3,65;3,25
2010-10;3,79;3,32
2010-11;3,80;3,32
2010-12;3,78;3,35
2011-01;3,71;3,30
2011-02;3,65;3,29
2011-03;3,73;3,31
2011-04;3,64;3,28
2011-05;3,59;3,22
2011-06;3,57;3,20
2011-07;3,55;3,17
2011-08;3,60;3,19
2011-09;3,68;3,25
2011-10;3,71;3,32
2011-11;3,94;3,38
2011-12;3,78;3,33
2012-01;3,76;3,31
2012-02;3,80;3,31
2012-03;3,67;3,25
2012-04;3,63;3,27
2012-05;3,56;3,19
2012-06;3,46;3,11
2012-07;3,48;3,15
2012-08;3,57;3,15
2012-09;3,64;3,21
2012-10;3,74;3,27
2012-11;3,82;3,35
2012-12;3,70;3,31
2013-01;3,71;3,28
2013-02;3,70;3,25
2013-03;3,71;3,24
2013-04;3,58;3,20
2013-05;3,54;3,19
2013-06;3,54;3,16
2013-07;3,48;3,10
2013-08;3,51;3,11
2013-09;3,59;3,18
2013-10;3,62;3,22
2013-11;3,70;3,28
2013-12;3,74;3,28
2014-01;3,66;3,23
2014-02;3,65;3,23
2014-03;3,60;3,25
2014-04;3,47;3,19
2014-05;3,33;3,19
2014-06;3,38;3,19
2014-07;3,37;3,17
2014-08;3,44;3,19
2014-09;3,51;3,23
2014-10;3,67;3,26
2014-11;3,72;3,28
2014-12;3,71;3,31
2015-01;3,73;3,29
2015-02;3,76;3,24
2015-03;3,52;3,26
2015-04;3,48;3,21
2015-05;3,40;3,13
2015-06;3,36;3,15
2015-07;3,45;3,11
2015-08;3,46;3,17
2015-09;3,58;3,26
2015-10;3,67;3,29
2015-11;3,72;3,30
2015-12;3,77;3,32
2016-01;3,72;3,33
