fecha_index;semana;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct;entrada_mg_kg;entrada_mp_kg;cuba_fab_mg_kg;cuba_fab_mp_kg;balance_liquido_mg;balance_liquido_mp;perdida_mg_pct;perdida_mp_pct
2023-12-31;52;26941,0;26156,0;215,89;183,34;26281,0;207,10999999999999;175,38;28701,0;3118,51;272,33;137,26;1128,55177;958,15638;1088,34391;921,76989;-40,20785999999998;-36,38648999999998;-3,6944075884983802;-3,947459164672864
2024-01-07;1;25718,0;24968,0;212,76999999999998;179,03;25107,0;202,85;171,86;23567,0;2995,19;277,03;138,59;1061,40161;893,88377;1018,6049499999999;862,98364;-42,796659999999974;-30,90012999999999;-4,201497351843812;-3,5806159662540056
2024-01-14;2;26340,0;25573,0;213,05;180,0;25706,0;202,03;172,71;26593,0;3063,65;275,09000000000003;140,36;1088,59795;920,87775;1039,00117;888,00716;-49,59678000000008;-32,87058999999999;-4,773505692972423;-3,7016131716775793
2024-01-21;3;26101,0;25341,0;214,48000000000002;177,47;25467,0;205,39;170,23;27838,0;2982,06;274,99;142,26;1087,77142;900,98573;1046,16885;866,85155;-41,602570000000014;-34,134180000000015;-3,976659217104391;-3,9377192092463833
2024-01-28;4;25541,0;24797,0;213,1;179,32;24926,0;203,54;171,6;26199,0;2927,89;273,72;138,53;1055,96598;889,2297100000001;1014,67028;855,3853700000001;-41,2956999999999;-33,84433999999999;-4,069863956200619;-3,956618991507884
2024-02-04;5;25785,0;25033,0;214,15;176,79;25172,0;203,49;169,17000000000002;25320,0;2970,46;271,38;138,49;1071,72887;885,0021399999999;1024,4428500000001;851,6593700000001;-47,28601999999978;-33,34276999999986;-4,6157792013483006;-3,915035890464031
2024-02-11;6;26157,0;25395,0;211,0;176,18;25519,0;201,52;168,73;25143,0;3059,5;274,97;141,47;1071,0963;895,12277;1028,52583;861,1020599999999;-42,57046999999989;-34,02071000000001;-4,13897918343965;-3,9508336561173723
2024-02-18;7;27208,0;26416,0;217,78;178,39;26563,0;207,93;170,31;28756,0;3117,37;277,36;138,98;1150,86471;942,67949;1105,4964599999998;904,9546399999999;-45,36825000000022;-37,72485000000006;-4,103880169819831;-4,168700654432808
2024-02-25;8;26420,0;25649,0;211,13;180,97;25779,0;201,01999999999998;172,75;26183,0;3086,68;275,15999999999997;139,44;1083,61116;928,48706;1037,09407;890,66692;-46,517089999999826;-37,82014000000004;-4,485329860192897;-4,246271995820844
2024-03-03;9;26075,0;25314,0;209,15;175,88;25446,0;200,12;167,87;25102,0;2989,5;272,48;140,28;1059,20918;890,35416;1018,64941;854,23756;-40,55977000000007;-36,11659999999995;-3,9817202662494124;-4,227933971903547
2024-03-10;10;25635,0;24888,0;211,42000000000002;179,93;25026,0;201,34;172,19;25316,0;2956,1800000000003;275,02;142,5;1051,19205;897,36292;1007,74853;861,82156;-43,44352000000015;-35,541360000000054;-4,310948486325269;-4,1239813030437595
