fecha;fabricacion;est;mg;ph;cloruros;coliformes
11/01/2020;1;46,68;24;4,85;1,5;80
12/01/2020;1;48,09;25;4,67;1,61;0
13/01/2020;1;45,97;24;4,71;1,48;9200
14/01/2020;1;46,24;23,5;4,78;1,69;20
15/01/2020;1;45,81;23;4,77;1,56;150
18/01/2020;1;46;24;4,67;1,56;60
19/01/2020;1;44,83;23,5;4,73;1,39;40
20/01/2020;1;45,82;25;4,68;1,6;40
21/01/2020;1;47,1;24;4,75;1,54;175
22/01/2020;1;45,55;24;4,85;1,62;340
25/01/2020;1;47,08;25,5;4,99;1,24;0
25/01/2020;2;47,94;25,5;4,78;1,36;0
26/01/2020;1;46,6;28;4,82;1,54;0
26/01/2020;2;45,69;26;4,78;1,54;0
27/01/2020;1;46,34;23;4,79;1,24;5
27/01/2020;2;45,73;23;4,69;1,24;0
28/01/2020;1;46,47;24;4,84;1,44;0
28/01/2020;2;46,99;24,5;4,86;1,44;0
29/01/2020;1;45,78;23;4,72;1,45;250
29/01/2020;2;45,54;23,5;4,72;1,45;0
01/02/2020;1;46,22;23;4,61;1,88;0
02/02/2020;1;45,65;23,5;4,67;1,67;0
02/02/2020;2;45,62;22,5;4,75;1,31;70
03/02/2020;1;43,84;22;4,79;1,57;0
04/02/2020;1;44,76;23,5;4,66;1,76;0
05/02/2020;1;44,11;23,5;4,69;1,82;0
08/02/2020;1;45,94;23,5;4,66;1,59;0
09/02/2020;1;46,8;23,5;4,66;1,59;0
10/02/2020;1;45,5;25,5;4,61;1,69;0
11/02/2020;1;46,48;23;4,62;-1;0
12/02/2020;1;44,91;23;4,65;1,47;0
15/02/2020;1;47,13;23,5;4,64;1,54;0
16/02/2020;1;44,73;24;4,65;1,46;0
17/02/2020;1;45,39;24,5;4,68;1,53;0
18/02/2020;1;44,82;23;4,56;1,51;0
22/02/2020;1;45,43;22;4,68;1,43;0
23/02/2020;1;44,11;22;4,61;1,46;0
23/02/2020;2;45,51;22,5;4,61;1,46;0
24/02/2020;1;43,59;23,5;4,71;1,45;100
25/02/2020;1;44,5;23,5;4,78;1,53;30
29/02/2020;1;45,9;23,5;4,72;1,62;0
01/03/2020;1;45,28;23;4,78;1,62;0
02/03/2020;1;46,13;24;4,75;1,54;0
08/03/2020;1;44,78;23;4,68;1,79;10
09/03/2020;1;45,71;22,5;4,75;1,89;115
10/03/2020;1;46,55;23,5;4,66;1,82;0
11/03/2020;1;45,14;23,5;4,72;1,88;20
14/03/2020;1;45,55;22,5;4,74;1,61;150
15/03/2020;1;45,68;23;4,76;1,62;90
16/03/2020;1;42,92;22,5;4,78;1,47;0
17/03/2020;1;43,78;21,5;4,78;1,49;80
18/03/2020;1;46,99;23,5;4,75;1,23;30
21/03/2020;1;44,45;22,5;4,71;1,34;1260
22/03/2020;1;44,25;23,5;4,7;1,45;160
23/03/2020;1;47,43;24;4,73;1,39;10
28/03/2020;1;45,59;23;4,68;1,46;5
29/03/2020;1;44,72;23;4,61;1,4;1400
04/04/2020;1;44,8;22;4,6;1,73;140
05/04/2020;1;46,4;23,5;4,62;1,48;0
06/04/2020;1;46,68;23;4,8;1,33;110
07/04/2020;1;46,87;23;4,87;1,43;100
11/04/2020;1;47,32;23,5;4,67;1,62;0
12/04/2020;1;46,47;23,5;4,7;1,67;15
13/04/2020;1;48,47;23,5;4,7;1,37;40
14/04/2020;1;48,79;24;4,79;1,59;25
15/04/2020;1;44,25;23;4,79;1,33;380
18/04/2020;1;47,38;24,5;4,35;1,51;35
19/04/2020;1;47,9;24;4,77;1,47;320
20/04/2020;1;47,77;23;4,8;1,48;8200
21/04/2020;1;47,63;24;4,86;1,76;0
25/04/2020;1;45,58;23;4,76;1,53;10
26/04/2020;1;46,43;23;4,81;1,37;10
27/04/2020;1;47,34;23,5;4,74;1,38;400
28/04/2020;1;45,74;22,5;4,68;1,53;0
02/05/2020;1;46,85;23;4,72;1,62;110
03/05/2020;1;47,39;24;4,67;1,37;7200
04/05/2020;1;46,7;23,5;4,63;1,16;4100
05/05/2020;1;47,51;24,5;4,66;1,05;1040
06/05/2020;1;45,17;24,5;4,66;1,25;125
09/05/2020;1;46,82;23,5;4,72;1,55;40
10/05/2020;1;46,41;23;4,74;1,46;380
11/05/2020;1;47,66;24;4,6;1,52;10
12/05/2020;1;46,48;23;4,66;1,34;80
16/05/2020;1;47,14;23;4,74;1,4;80
17/05/2020;1;47,79;24;4,69;1,14;285
18/05/2020;1;47,12;22,5;4,76;1,31;195
19/05/2020;1;46,34;24;4,67;1,4;660
25/05/2020;1;47,22;23,5;4,72;1,46;0
26/05/2020;1;47,32;25;4,75;1,12;2000
27/05/2020;1;44,6;22,5;4,75;1,46;1470
30/05/2020;1;46,56;23,5;4,67;1,66;150
31/05/2020;1;48,8;24;4,7;1,75;90
01/06/2020;1;45,11;23;4,72;1,69;2000
06/06/2020;1;46,77;24,5;4,6;1,72;250
07/06/2020;1;47,77;23,5;4,65;1,6;0
08/06/2020;1;46,8;24;4,65;1,31;0
13/06/2020;1;45,57;23,5;4,67;1,34;0
14/06/2020;1;44,71;23,5;4,67;1,34;0
15/06/2020;1;46,61;24,5;4,61;1,37;0
20/06/2020;1;45,2;23,5;4,68;1,68;0
22/06/2020;1;48,41;24;4,72;1,28;0
27/06/2020;1;47,87;24,5;4,68;1,57;415
28/06/2020;1;47,58;24;4,65;1,6;0
29/06/2020;1;46,66;24;4,65;1,6;880
30/06/2020;1;47,08;24,5;4,7;1,4;0
04/07/2020;1;46,97;23;4,6;1,49;2480
05/07/2020;1;47,89;23,5;4,61;1,53;1200
06/07/2020;1;47,18;23,5;4,6;1,6;8000
11/07/2020;1;47,33;24;4,61;1,56;0
12/07/2020;1;48,75;24;4,7;1,5;1500
13/07/2020;1;49,59;24,5;4,7;1,56;0
18/07/2020;1;49,91;25,5;4,77;1,57;0
19/07/2020;1;49,59;25;4,81;1,49;0
20/07/2020;1;49,31;24,5;4,71;1,53;0
21/07/2020;1;52,61;22,5;4,65;1,56;0
26/07/2020;1;50,4;24,5;4,71;1,63;0
27/07/2020;1;49,79;24,5;4,73;1,49;960
28/07/2020;1;49,91;25;4,75;1,49;0
01/08/2020;1;49,05;23,5;4,68;1,65;6000
