Fecha;Num_Cuba;Lote;FORMATO;PH;ES;MG;SAL
05/11/2015;7;42015;Barra 3 kg;5,51;58,31;32,36;1,45
13/03/2015;28;18315;Barra 4,2 kg;5,49;58,59;30,9;1,18
04/05/2016;8;23616;Barra 3 kg;5,43;57,82;31,6;1,57
14/03/2016;9;18516;Barra 3 kg;5,59;58,17;31,24;1,37
23/05/2016;6;25516;1 kg;5,46;59,71;31,92;0,92
16/02/2015;26;15815;3 KG;5,42;57,03;30,17;1,38
22/03/2016;19;19316;Barra 3 kg;5,37;57,73;30,86;1,55
04/04/2016;4;20616;Barra 3 kg;5,37;56,76;30,58;1,52
22/12/2015;24;46715;Barra 3 kg;5,42;58,98;32,64;1,39
20/07/2015;19;31215;3 KG;5,44;57,49;31,95;1,84
09/02/2015;13;15115;Barra 3 kg;5,48;56,77;31,08;1,62
20/04/2016;21;22216;Barra 3 kg;5,43;58,06;31,12;1,2
12/05/2015;16;24315;Barra 4,2 kg;5,42;57,71;31,34;1,12
26/03/2015;4;19615;1 kg;5,39;57,89;30,43;1,36
09/11/2015;2;42415;1 kg;5,49;56,62;30,88;1,27
26/01/2016;9;13716;Barra 4,2 kg;5,42;58,21;32,02;1,43
09/11/2015;3;42415;3 KG;5,48;56,87;31,15;1,67
28/04/2015;4;22915;Barra 4,2 kg;5,5;57,27;31,58;1,26
30/03/2015;14;20015;Barra 3 kg;5,56;57,43;31,16;0,92
14/09/2015;1;36815;1 kg;5,63;56,45;30,9;1,44
11/09/2015;6;36515;Barra 4,2 kg;5,31;58,55;31,69;1,51
23/02/2015;31;16515;3 KG;5,51;57,39;32,01;1,37
14/10/2015;29;39815;Barra 3 kg;5,47;58,75;32,2;1,13
25/01/2016;2;13616;Barra 3 kg;5,52;56,94;30,53;1,46
28/03/2016;17;19916;3 KG;5,43;57,15;31,53;1,67
08/12/2015;6;45315;Barra 3 kg;5,59;58,25;32,1;1,85
02/06/2015;5;26415;Barra 3 kg;5,44;56,88;31,11;1,5
10/02/2016;3;15216;500 g;5,57;58,34;31,57;1,26
29/06/2015;3;29115;1 kg;5,54;56,62;30,65;1,5
22/12/2015;2;46715;Barra 3 kg;5,36;56,5;31,01;1,83
22/02/2016;12;16416;3 KG;5,36;57,68;31,31;1,85
15/06/2015;12;27715;Barra 3 kg;5,55;56,63;31,28;1,37
12/11/2015;7;42715;Barra 3 kg;5,54;57,96;31,83;1,37
19/06/2015;12;28115;Barra 4,2 kg;5,49;57,12;30,58;1,42
13/07/2015;4;30515;3 KG;5,41;57,25;30,91;1,44
02/03/2016;14;17316;Barra 3 kg;5,5;58,08;31,64;1,44
21/07/2015;15;31315;Barra 4,2 kg;5,59;57,94;31,97;1
10/10/2015;12;39415;3 KG;5,28;58,64;31,82;1,61
08/06/2016;4;27116;500 g;5,51;55,66;30,14;0,98
04/04/2016;6;20616;1 kg;5,48;56,48;29,83;1,63
28/10/2015;13;41215;Barra 3 kg;5,43;57,97;32,55;1,6
17/04/2015;15;21815;Barra 4,2 kg;5,38;58,42;32,17;1,01
02/03/2016;8;17316;Barra 3 kg;5,47;58,09;31,54;1,1
18/11/2015;12;43315;Barra 3 kg;5,46;56,55;31,32;1,45
12/01/2016;9;12316;Barra 3 kg;5,36;57,12;31,41;1,63
01/02/2016;35;14316;3 KG;5,35;56,98;31,13;1,39
20/04/2015;40;22115;3 KG;5,52;57,75;31,88;1,35
14/10/2015;8;39815;Barra 3 kg;5,51;57,6;30,66;1,57
05/03/2015;1;17515;Barra 3 kg;5,31;56,68;30,67;1,18
16/11/2015;33;43115;3 KG;5,54;57,51;32,13;1,13
30/09/2015;31;38415;Barra 3 kg;5,52;56,98;31,66;1,28
23/04/2015;23;22415;Barra 3 kg;5,53;59,25;33,51;1,23
19/11/2015;3;43415;Barra 3 kg;5,46;58,53;31,98;1,11
04/01/2016;29;11516;3 KG;5,47;58,28;32,76;1,49
13/02/2015;6;15515;Barra 4,2 kg;5,41;58,15;31,95;0,88
12/03/2015;36;18215;Barra 3 kg;5,55;56,69;29,88;1,3
21/03/2016;1;19216;1 kg;5,57;58,46;31,29;1,58
14/09/2015;31;36815;3 KG;5,53;56,38;29,91;1,44
10/02/2016;36;15216;Barra 3 kg;5,42;57,52;30,86;1,82
02/02/2016;10;14416;Barra 4,2 kg;5,41;60,41;33,34;1,04
08/06/2015;29;27015;3 KG;5,5;57,92;31,85;1,46
13/01/2016;13;12416;Barra 3 kg;5,48;56,51;31,32;1,61
02/05/2016;26;23416;Barra 3 kg;5,47;56,77;30,38;1,64
16/03/2015;39;18615;Barra 3 kg;5,56;58,48;31,32;1,03
28/07/2015;13;32015;Barra 4,2 kg;5,43;58,14;31,56;1,09
04/02/2015;8;14615;500 g;5,54;56;28,81;1,08
29/12/2015;16;47415;Barra 3 kg;5,63;57,96;32,36;1,68
20/04/2015;1;22115;Barra 4,2 kg;5,34;57,28;32;0,89
10/03/2015;16;18015;Barra 4,2 kg;5,45;58,34;31,45;0,91
21/10/2015;3;40515;Barra 3 kg;5,5;57,71;31,99;1,9
13/01/2016;8;12416;Barra 3 kg;5,44;59,12;33,73;1,47
05/10/2015;20;38915;3 KG;5,46;56,86;31,3;1,5
28/04/2015;5;22915;Barra 4,2 kg;5,42;57,08;31,57;1,115
09/11/2015;1;42415;3 KG;5,46;55,86;30,63;0,99
18/05/2015;20;24915;3 KG;5,55;56,55;31,31;1,73
