Fecha;FORMATO;PH;ES;MG;SAL
02/02/2015;3 KG;5,52;57,2;32,06;1,36
02/02/2015;3 KG;5,37;57,02;31,89;1,75
02/02/2015;3 KG;5,44;57,74;32,45;1,34
02/02/2015;3 KG;5,49;57,81;32,71;1,25
02/02/2015;3 KG;5,5;58,28;32,92;0,93
02/02/2015;3 KG;5,53;57,97;31,68;1,11
02/02/2015;3 KG;5,51;58,55;32,95;1,44
03/02/2015;BARRA 4.2 KG;5,41;57,92;32,73;1,14
03/02/2015;BARRA 4.2 KG;5,52;59,27;33,06;1,19
03/02/2015;BARRA 4.2 KG;5,39;58,64;32,52;1,17
03/02/2015;BARRA 4.2 KG;5,42;56,73;31,02;1,04
03/02/2015;BARRA 4.2 KG;5,37;58,54;32,86;1,2
03/02/2015;BARRA 4.2 KG;5,42;57,22;31,27;0,91
04/02/2015;500 G;5,54;56;28,81;1,08
04/02/2015;BARRA 3 KG;5,83;57,6;30,81;1,96
04/02/2015;BARRA 3 KG;5,5;56,54;30,06;1,18
04/02/2015;BARRA 3 KG;5,45;57,66;31,39;1,41
04/02/2015;500 G;5,42;56,8;30,48;0,64
04/02/2015;BARRA 3 KG;5,42;57,4;31,35;1,47
04/02/2015;BARRA 3 KG;5,41;57,83;31,91;1,14
04/02/2015;BARRA 3 KG;5,55;56,86;31,42;1,5
04/02/2015;BARRA 3 KG;5,52;57,9;31,77;1,8
04/02/2015;500 G;5,47;58,32;30,99;0,61
04/02/2015;500 G;5,44;58,93;30,78;1,52
04/02/2015;BARRA 3 KG;5,58;56,53;31,3;1,57
04/02/2015;BARRA 3 KG;5,66;56,79;31,31;1,71
04/02/2015;BARRA 3 KG;5,8;56,96;31,52;1,64
04/02/2015;BARRA 3 KG;5,38;58,26;31,86;1,2
05/02/2015;BARRA 3 KG;5,49;58,01;32,02;1,59
05/02/2015;BARRA 3 KG;5,5;57,15;31,69;1,83
05/02/2015;BARRA 3 KG;5,49;57,02;30,72;1,51
05/02/2015;BARRA 3 KG;5,54;56,86;31,42;1,43
05/02/2015;BARRA 3 KG;5,56;56,86;30,44;1,39
05/02/2015;BARRA 3 KG;5,55;57,68;31,9;1,28
05/02/2015;BARRA 3 KG;5,62;58,78;32,42;1,64
05/02/2015;BARRA 3 KG;5,48;57,9;32,04;1,8
06/02/2015;BARRA 4.2 KG;5,51;56,93;30,36;1,64
06/02/2015;BARRA 4.2 KG;5,41;57,09;31,01;1,6
06/02/2015;BARRA 4.2 KG;5,48;57,71;31,45;1,44
06/02/2015;BARRA 4.2 KG;5,44;56,89;30,4;1,62
06/02/2015;BARRA 4.2 KG;5,5;58,66;31,55;1,23
06/02/2015;BARRA 4.2 KG;5,45;57,66;31,26;1,39
09/02/2015;BARRA 3 KG;5,48;56,77;31,08;1,62
09/02/2015;3 KG;5,41;57,59;31,69;1,67
09/02/2015;3 KG;5,45;57,09;31,65;1,79
09/02/2015;3 KG;5,42;57,45;31,95;1,8
09/02/2015;BARRA 3 KG;5,44;57,5;31,67;1,25
09/02/2015;BARRA 3 KG;5,53;57,85;31,49;1,52
09/02/2015;3 KG;5,44;58;32,63;1,41
09/02/2015;3 KG;5,45;56,66;31,6;1,56
09/02/2015;3 KG;5,44;56,79;31,5;1,82
09/02/2015;BARRA 3 KG;5,41;57,99;31,71;1,27
09/02/2015;3 KG;5,48;57,1;31,49;1,67
09/02/2015;BARRA 3 KG;5,42;57,76;31,91;1,41
09/02/2015;BARRA 3 KG;5,56;55,97;30,34;1,47
09/02/2015;3 KG;5,49;56,94;31,8;1,78
09/02/2015;BARRA 3 KG;5,46;57,36;32;1,32
09/02/2015;BARRA 3 KG;5,47;56,46;31,39;1,48
09/02/2015;BARRA 3 KG;5,47;57,98;31,95;1,45
10/02/2015;BARRA 4.2 KG;5,48;58,86;31,87;0,89
10/02/2015;BARRA 4.2 KG;5,43;58,44;31,44;0,84
11/02/2015;500 G;5,6;58,17;31,77;1,01
11/02/2015;500 G;5,69;57,5;31,49;0,87
11/02/2015;500 G;5,56;58,73;32,47;1,3
12/02/2015;BARRA 3 KG;5,47;57,25;31,03;1,26
12/02/2015;BARRA 3 KG;5,46;58,51;31,96;1,23
12/02/2015;BARRA 3 KG;5,59;56,75;30,78;1,33
12/02/2015;1 KG;5,52;57,32;31,54;1,51
12/02/2015;BARRA 3 KG;5,53;56,37;30,41;1,56
12/02/2015;BARRA 3 KG;5,47;58,17;31,35;1,14
12/02/2015;BARRA 3 KG;5,51;57,01;30,79;1,44
12/02/2015;BARRA 3 KG;5,6;56,74;30,73;1,28
12/02/2015;BARRA 3 KG;5,5;57,14;31,56;1,48
12/02/2015;1 KG;5,35;57,27;30,82;1,45
13/02/2015;BARRA 4.2 KG;5,41;58,15;31,95;0,88
