fecha;receta;litros_past;est_past;mg_past;mp_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;formato;est_salida_salmuera;mg_salida_salmuera;ph_salida_salmuera;peso_queso_total;sal_queso
23/02/2022;bajo mg;12380;10,76;2,58;3,55;12860,51;10,28;2,46;3,38;3 kg;50,85;20,34;5,44;1419,3;1,47
01/03/2022;bajo mg;13080;11,09;2,59;3,6;13867,37;10,41;2,47;3,43;barra;52,1;21,15;5,34;1536;1,17
08/03/2022;bajo mg;10700;10,7;2,48;3,45;11638,92;9,98;2,36;3,28;3 kg;50,26;19,97;5,34;1210,5;1,95
29/03/2022;bajo mg;12680;11,27;2,56;3,5;13011,79;10,22;2,44;3,33;3 kg;50,67;20,1;5,39;1385;1,8
05/04/2022;bajo mg;14590;11,05;2,52;3,5;14508,35;10,26;2,4;3,33;3 kg;50,04;20,98;5,22;1633;1,49
12/04/2022;bajo mg;14590;11,3;2,67;3,66;14665,92;10,77;2,55;3,49;3 kg;54,14;20,27;5,43;1465;1,74
19/04/2022;bajo mg;12830;10,09;2,52;3,5;12877,99;9,63;2,4;3,33;3 kg;49,48;20,17;5,44;1354;1,16
29/04/2022;bajo mg;15410;10,64;2,6;3,44;15663,47;10,16;2,48;3,27;3 kg;45,1;19,6;5,41;1967;1,45
06/05/2022;bajo mg;15190;10,75;2,53;3,59;16025,31;10,42;2,41;3,42;3 kg;50,26;19,7;5,44;1714;1,77
25/05/2022;bajo mg;12370;10,35;2,57;3,51;13021,82;9,95;2,45;3,34;500 g;52,67;21,26;5,58;1322;1,76
11/03/2022;i+D;11930;16,98;5,01;4,43;12599,03;14;4,78;4,24;3 kg;58,67;30,89;5,36;1210;1
17/03/2022;i+D;9440;15,69;4,81;3,81;9633,75;12,55;4,58;3,62;barra;56,87;31,57;5,35;1071;1,93
13/04/2022;i+D;8950;16,04;5,05;4,1;9227,15;13,17;4,82;3,91;500 g;58,45;29,43;5,74;832;1,61
29/04/2022;i+D;15310;13,17;4,77;3,79;15709,1;12,45;4,54;3,6;barra;57,45;30,59;5,2;1918;1,44
20/05/2022;i+D;13970;13,5;4,53;3,73;14550,54;11,78;4,3;3,54;3 kg;58,39;32,52;5,2;1732;1,29
24/02/2022;mezcla;7440;13,29;5,15;4,09;7704,462;12,8;4,9;3,89;barra;59,42;32,13;5,4;1062,4;1,31
04/03/2022;mezcla;13420;14,22;5,45;4,31;14131,77;13,61;5,2;4,11;3 kg;52,65;28,8;5,44;2397;1,02
