fecha;receta;litros_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_final_moldeo_cuba;formato;est_salida_salmuera;mg_salida_salmuera;ph_salida_salmuera;peso_queso_total;sal_queso;;mg/es
23/02/2022;light;12330;12860,51;10,28;2,46;3,38;4,44;6,46;3 kg;50,85;20,34;5,44;1419,3;1,47;;
24/02/2022;mezcla 1;7500;7704,462;12,8;4,9;3,89;4,01;6,35;barra;57,42;31,13;5,4;1062,4;1,31;;
01/03/2022;light;13030;13867,37;10,41;2,47;3,43;4,51;6,4;barra;53,32;21,15;5,34;1536;1,17;;
22/04/2022;vaca;13910;14382,29;12,76;4,97;3,93;3,86;;barra;47,13;29,34;5,46;2228;1,59;;0,622533418
04/03/2022;oveja;11890;12344,19;14,37;5,86;4,55;3,96;6,42;barra;;;;2051;;;
04/03/2022;vaca;14020;14989,74;12,5;4,87;3,95;3,68;6,41;barra;47,18;29,8;5,88;2266;1,77;;0,631623569
04/03/2022;mezcla 1;13530;14131,77;13,61;5,2;4,11;4,3;6,31;3 kg;57,22;30,82;5,44;2397;1,02;;
08/03/2022;light;10660;11638,92;9,98;2,36;3,28;4,34;6,47;3 kg;50,26;19,97;5,34;1210,5;1,95;;
08/03/2022;oveja;13750;14268,52;15,04;6,1;4,74;4,2;6,4;barra;59,78;31,99;5,42;2656;1,32;;
10/03/2022;mezcla 1;9490;10153,85;12,41;4,76;3,78;3,87;6,36;500 g;54,97;29,92;5,98;1439;1,79;;
11/03/2022;mezcla 2;12030;12599,03;14;5,3;4,24;4,46;6,35;3 kg;57,99;30,89;5,36;1282;1;;
15/03/2022;mezcla 1;15030;15397,16;13,47;5,12;4,05;4,3;;barra;57,81;30,63;5,41;2414,3;1,13;;
15/03/2022;oveja;13830;14279,2;15,23;6,08;4,84;4,31;6,46;barra;58,02;30,82;5,41;2540;1,44;;
17/03/2022;mezcla 2;9520;9633,75;12,55;4,58;3,62;4,35;6,24;barra;56,87;29,58;5,35;1171;1,93;;
18/03/2022;mezcla 1;14530;14642,42;12,99;5,1;3,87;4,02;6,42;barra;;;;2250;;;
08/04/2022;vaca;15830;16452,76;12,67;4,85;3,85;3,97;6,41;barra;48,63;30,01;5,31;2346;1,9;;0,617108781
29/03/2022;light;12630;13011,79;10,22;2,44;3,33;4,45;6,42;3 kg;;20,1;5,39;1385;1,8;;
13/05/2022;vaca;13390;13742,96;12,56;4,83;3,91;3,82;6,41;barra;48,85;30,05;5,4;2097;1,25;;0,615148414
05/04/2022;light;14530;14508,35;10,26;2,4;3,33;4,53;;3 kg;52,04;20,98;5,22;1633;1,49;;
08/04/2022;oveja dop;10850;10994,12;14,85;6,08;4,8;3,97;6,42;barra;57,45;31;5,38;1951;1,56;;
01/03/2022;vaca;14820;15810,99;12,85;5,03;3,97;3,85;6,38;barra;48,94;30,76;5,41;2351;1,55;;0,628524724
12/04/2022;light;14530;14665,92;10,77;2,55;3,49;4,73;;3 kg;52,48;20,27;5,43;1465;1,74;;
13/04/2022;mezcla 2;9020;9227,15;13,17;5,07;3,91;4,19;6,39;500 g;56,45;29,43;5,74;832;1,61;;
25/03/2022;vaca;13230;13011,79;12,37;4,83;3,84;3,7;6,42;barra;49,1;30,63;5,48;1867;1,32;;0,623828921
19/04/2022;oveja dop;11940;12114,63;15,18;6,12;4,91;4,15;6,39;barra;58,34;31,37;5,46;2244;0,96;;
19/04/2022;light;12780;12877,99;9,63;2,4;3,33;3,9;;3 kg;52,14;20,17;5,44;1354;1,16;;
03/05/2022;vaca;13790;14315,49;12,72;4,93;3,92;3,87;6,39;barra;49,77;31,16;5,35;2168;1,25;;0,626079968
29/04/2022;light;15350;15663,47;10,16;2,48;3,27;4,41;6,4;3 kg;50,48;20,5;5,41;1967;1,45;;
29/04/2022;mezcla 2;15440;15709,1;12,45;4,54;3,6;4,31;;barra;57,45;30,59;5,2;2108;1,44;;
01/04/2022;vaca;15340;15946,8;12,6;4,92;3,84;3,84;6,48;barra;49,2;31,51;5,36;2261;1,36;;0,640447154
06/05/2022;light;15130;16025,31;10,42;2,41;3,42;4,59;6,39;3 kg;50,26;19,7;5,44;1714;1,77;;
06/05/2022;oveja;11780;12171,48;13,61;5,36;4,34;3,91;6,43;barra;56,12;30,25;5,24;2002;1,67;;
10/05/2022;mezcla 1;13910;14047,38;13,4;5,07;4,07;4,26;6,4;barra;56,72;29,97;5,44;2157;1,76;;
10/05/2022;mezcla 1;14840;14707,58;13,32;5,09;4,01;4,22;6,4;3 kg;56,95;30,28;5,36;2300;1,2;;
15/04/2022;vaca;14050;14584,98;12,64;4,64;3,95;4,05;6,4;barra;49,68;31,31;5,43;2155;1,17;;0,630233494
17/05/2022;mezcla 1;12530;12698,69;13,33;5;3,99;4,34;6,41;barra;56,74;30,27;5,45;1909;1,48;;
17/05/2022;oveja;11130;11253,11;14,05;5,65;4,56;3,84;6,43;barra;57,95;31,6;5,5;1857;1,35;;
20/05/2022;oveja dop;11030;11287,58;16,26;6,61;5,26;4,39;6,42;barra;58,44;31,59;5,37;2193;1,34;;
20/05/2022;mezcla 2;14090;14550,54;11,78;4,3;3,54;3,94;6,34;3 kg;58,39;32,52;5,2;1732;1,29;;
20/05/2022;oveja;11450;11275,17;14,16;5,77;4,41;3,98;6,38;barra;57,25;32,87;5,39;1925;1,4;;
24/05/2022;mezcla 1;13030;13592,29;13,38;5,1;4;4,28;6,4;barra;56,76;30,02;5,46;2028;1,57;;
25/05/2022;mezcla 1;9910;10046,51;12,36;4,66;3,68;4,02;6,38;500 g;54,4;29,56;5,54;1438;1,77;;
