fecha_index;fecha;receta;litros_past;litros_past_ajustado;kg_cuba;est_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_final_moldeo_cuba;formato;est_salida_salmuera;mg_salida_salmuera;ph_salida_salmuera;peso_queso_total;sal_queso;mg_past;mp_past
2022-02-23;23/02/2022;bajo mg;12330;12379,18849;12860,51;10,28;2,46;3,38;4,44;6,46;3 kg;50,85;20,34;5,44;1419,3;1,47;2,5821;3,548
2022-02-24;24/02/2022;mezcla;7500;7440,824895;7704,462;12,8;4,9;3,89;4,01;6,35;barra;59,42;32,13;5,4;1062,4;1,31;5,149863636363637;4,087136363636365
2022-03-01;01/03/2022;bajo mg;13030;13080,93962;13867,37;10,41;2,47;3,43;4,51;6,4;barra;52,1;21,15;5,34;1536,0;1,17;2,5921000000000003;3,5980000000000003
2022-03-01;01/03/2022;vaca;14820;14906,84247;15810,99;12,85;5,03;3,97;3,85;6,38;barra;55,94;30,5;5,41;2351,0;1,55;5,273722222222222;4,165333333333333
2022-03-04;04/03/2022;oveja;11890;11756,89423;12344,19;14,37;5,86;4,55;3,96;6,42;barra;57,6;31,99;5,42;2051,0;;6,158650000000001;4,7868
2022-03-04;04/03/2022;vaca;14020;14101,97686;14989,74;12,5;4,87;3,95;3,68;6,41;barra;54,58;29,8;5,88;2266,0;1,77;5,113722222222222;4,145333333333333
2022-03-04;04/03/2022;mezcla;13530;13424,99395;14131,77;13,61;5,2;4,11;4,3;6,31;3 kg;52,65;28,8;5,44;2397,0;1,02;5,449863636363637;4,307136363636364
2022-03-08;08/03/2022;bajo mg;10660;10700,61812;11638,92;9,98;2,36;3,28;4,34;6,47;3 kg;50,26;19,97;5,34;1210,5;1,95;2,4821;3,448
2022-03-08;08/03/2022;oveja;13750;13596,00028;14268,52;15,04;6,1;4,74;4,2;6,4;barra;53,78;29,85;5,42;2656,0;1,32;6,39865;4,976800000000001
2022-03-10;10/03/2022;mezcla;9490;9418,088682;10153,85;12,41;4,76;3,78;3,87;6,36;500 g;54,6;29,92;5,98;1439,0;1,79;5,009863636363637;3,977136363636364
2022-03-11;11/03/2022;i+D;12030;11932,76378;12599,03;14,0;4,78;4,24;4,46;6,35;3 kg;58,67;30,89;5,36;1210,0;1,0;5,0102;4,4291
2022-03-15;15/03/2022;mezcla;15030;14911,08773;15397,16;13,47;5,12;4,05;4,3;;barra;55,65;30,63;5,41;2414,3;1,13;5,369863636363637;4,247136363636364
2022-03-15;15/03/2022;oveja;13830;13674,32843;14279,2;15,23;6,08;4,84;4,31;6,46;barra;56,02;30,82;5,41;2540,0;1,44;6,37865;5,0768
2022-03-17;17/03/2022;i+D;9520;9440,385932;9633,75;12,55;4,58;3,62;4,35;6,24;barra;56,87;31,57;5,35;1071,0;1,93;4,8102;3,8091000000000004
2022-03-18;18/03/2022;mezcla;14530;14413,15482;14642,42;12,99;5,1;3,87;4,02;6,42;barra;54,46;30,55;5,42;2250,0;1,51;5,3498636363636365;4,067136363636364
2022-03-25;25/03/2022;vaca;13230;13314,1382;13011,79;12,37;4,83;3,84;3,7;6,42;barra;54,1;30,63;5,48;1867,0;1,32;5,073722222222222;4,035333333333333
2022-03-29;29/03/2022;bajo mg;12630;12681,01369;13011,79;10,22;2,44;3,33;4,45;6,42;3 kg;50,67;20,1;5,39;1385,0;1,8;2,5621;3,498
2022-04-01;01/04/2022;vaca;15340;15432,2654;15946,8;12,6;4,92;3,84;3,84;6,48;barra;56,76;30,51;5,36;2261,0;1,36;5,163722222222222;4,035333333333333
2022-04-05;05/04/2022;bajo mg;14530;14590,56002;14508,35;10,26;2,4;3,33;4,53;;3 kg;50,04;20,98;5,22;1633,0;1,49;2,5221;3,498
2022-04-08;08/04/2022;vaca;15830;15925,23253;16452,76;12,67;4,85;3,85;3,97;6,41;barra;55,63;30,01;5,31;2346,0;1,9;5,093722222222222;4,045333333333334
2022-04-08;08/04/2022;oveja;10850;10725,58429;10994,12;14,85;6,08;4,8;3,97;6,42;barra;56,45;31,0;5,38;1951,0;1,56;6,37865;5,0368
2022-04-12;12/04/2022;bajo mg;14530;14589,90668;14665,92;10,77;2,55;3,49;4,73;;3 kg;54,14;20,27;5,43;1465,0;1,74;2,6721;3,6580000000000004
2022-04-13;13/04/2022;i+D;9020;8945,373014;9227,15;13,17;4,82;3,91;4,19;6,39;500 g;58,45;29,43;5,74;832,0;1,61;5,0502;4,0991
2022-04-15;15/04/2022;vaca;14050;14134,62764;14584,98;12,64;4,64;3,95;4,05;6,4;barra;55,68;29,31;5,43;2155,0;1,17;4,883722222222222;4,145333333333333
2022-04-19;19/04/2022;oveja;11940;11803,26449;12114,63;15,18;6,12;4,91;4,15;6,39;barra;54,84;30,07;5,46;2244,0;0,96;6,41865;5,146800000000001
2022-04-19;19/04/2022;bajo mg;12780;12832,78007;12877,99;9,63;2,4;3,33;3,9;;3 kg;49,48;20,17;5,44;1354,0;1,16;2,5221;3,498
2022-04-22;22/04/2022;vaca;13910;13994,12055;14382,29;12,76;4,97;3,93;3,86;;barra;54,13;29,34;5,46;2228,0;1,59;5,213722222222222;4,125333333333334
2022-04-29;29/04/2022;bajo mg;15350;15412,59832;15663,47;10,16;2,48;3,27;4,41;6,4;3 kg;45,1;19,6;5,41;1967,0;1,45;2,6021;3,438
2022-04-29;29/04/2022;i+D;15440;15311,56773;15709,1;12,45;4,54;3,6;4,31;;barra;57,45;30,59;5,2;1918,0;1,44;4,7702;3,7891000000000004
2022-05-03;03/05/2022;vaca;13790;13873,05919;14315,49;12,72;4,93;3,92;3,87;6,39;barra;55,77;31,16;5,35;2168,0;1,25;5,173722222222222;4,115333333333333
