fecha;receta;litros_past;est_past;mg_past;mp_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;formato;est_salida_salmuera;mg_salida_salmuera;ph_salida_salmuera;peso_queso_total;sal_queso;est_kg_cuba;mg_kg_cuba;mp_kg_cuba;esm_kg_cuba;est_kg_queso;mg_kg_queso;esm_kg_queso;sal_queso;coef_recup_mg;coef_recup_mp;coef_recup_esm;balance_mg_cuba;%_perd_mg_cuba;balance_mp_cuba;%_perd_mp_cuba
01/03/2022;vaca;15350;12,542;4,2;3,076;15810,99;11,37;4,01;2,94;barra;55,94;29,5;5,41;1960;1,55;1797,709563;634,020699;464,843106;1163,688864;1096,424;578,2;518,224;30,38;0,911957608;1,114836368;0,445328658;-10,679301;-1,656476035;-7,322894;-1,550915144
04/03/2022;vaca;14530;13,312;4,002;3,673;14989,74;13,25;3,79;3,45;barra;54,58;29,8;5,88;1888;1,77;1986,14055;568,111146;517,14603;1418,029404;1030,4704;562,624;467,8464;33,4176;0,990341422;0,904669809;0,32992715;-13,379454;-2,300889129;-16,54087;-3,099358444
25/03/2022;vaca;12633;12,856;3,889;3,372;13011,79;12,89;3,69;3,21;barra;54,1;30,63;5,48;1555;1,32;1677,219731;480,135051;417,678459;1197,08468;841,255;476,2965;364,9585;20,526;0,992005268;0,873778602;0,304872751;-11,162319;-2,272008702;-8,306301;-1,949905673
01/04/2022;vaca;15430;13,151;3,886;3,218;15946,8;11,88;3,71;3,02;barra;56,76;30,51;5,36;1750;1,36;1894,47984;591,62628;481,59336;1302,85356;993,3;533,925;459,375;23,8;0,902470053;0,953864895;0,35259143;-7,98352;-1,331452555;-14,94404;-3,009650431
08/04/2022;vaca;15930;13,103;4,022;3,396;16452,76;11,93;3,81;3,23;barra;55,63;30,01;5,31;1955;1,9;1962,814268;626,850156;531,424148;1335,964112;1087,5665;586,6955;500,871;37,145;0,935942178;0,942507039;0,374913514;-13,854444;-2,162376234;-9,558652;-1,766904974
15/04/2022;vaca;14130;13,323;4,01;3,496;14584,98;12,55;3,84;3,32;barra;55,68;29,31;5,43;1640;1,17;1830,41499;560,063232;484,221336;1270,351758;913,152;480,684;432,468;19,188;0,858267375;0,893120496;0,340431693;-6,549768;-1,155950887;-9,763464;-1,976470531
22/04/2022;vaca;13990;12,506;3,881;3,266;14382,29;11,61;3,69;3,08;barra;54,13;29,34;5,46;1580;1,59;1669,783869;530,706501;442,974532;1139,077368;855,254;463,572;391,682;25,122;0,873499758;0,884208847;0,343858996;-12,245399;-2,25533772;-13,938868;-3,050658615
03/05/2022;vaca;13870;13,763;4,192;3,587;14315,49;13,96;3,96;3,44;barra;54,77;28,5;5,35;1806;1,25;1998,442404;566,893404;492,452856;1431,549;989,1462;514,71;474,4362;22,575;0,907948472;0,963414455;0,331414573;-14,536996;-2,500212579;-5,064044;-1,017863715
13/05/2022;vaca;13470;13,235;4,36;3,187;13890;11,41;4,13;3,09;barra;54,85;30,05;5,4;1680;1,25;1584,849;573,657;429,201;1011,192;921,48;504,84;416,64;21;0,880038072;0,970733992;0,412028576;-13,635;-2,321673035;-8,79;-2,047572159
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
