fecha;receta;operador;litros_past;kg_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;tiempo_salado;mg_salida_salmuera;ph_salida_salmuera;EST salida salmuera;peso_queso_total;sal_queso
22/02/2016;receta 01;7.0;9020;9404.95;5.18;4.06;4.15;6.56;6.47;6.39;1 kg;6.33;5.66;5.3;7:25;31.03;5.66;56.85;8760.12;1.32
22/02/2016;receta 02;7.0;9830;10241.07;6.19;4.88;3.85;6.6;6.5;6.46;3 kg;6.45;5.86;5.48;16:22;29.8;5.42;56.36;6052.3;1.52
22/02/2016;receta 03;7.0;14330;15059.58;4.84;3.78;4.41;6.59;6.38;6.28;3 kg;6.3;5.26;5.11;16:20;30.95;5.45;57.84;12532.0;1.64
22/02/2016;receta 04;7.0;6780;7506.26;6.18;4.89;3.86;6.6;6.5;6.46;mini;6.39;5.82;5.66;8:25;;;;4437.5;
22/02/2016;receta 05;8.0;9520;10067.49;4.6;3.62;4.28;6.57;6.41;6.31;mini;6.2;5.64;5.16;7:15;31.54;5.4;57.47;14215.5;1.47
22/02/2016;receta 06;8.0;12530;13081.65;5.42;4.04;4.37;6.57;6.47;;3 kg;6.46;5.93;5.65;16:05;;;;8158.0;
23/02/2016;receta 07;7.0;11520;11993.7;4.81;3.45;4.4;6.6;6.45;6.3;barra 4,2 kg;6.15;5.25;;;32.78;5.51;57.59;11501.0;1.24
23/02/2016;receta 08;7.0;11630;12157.65;2.51;3.44;4.55;6.59;6.5;6.46;barra 4,2 kg;6.42;5.5;5.27;4:25;20.81;5.77;50.38;2797.3;1.53
23/02/2016;receta 09;7.0;12330;12860.51;2.46;3.38;4.44;6.6;6.5;6.46;3 kg;6.44;5.42;5.23;7:55;20.34;5.44;50.85;1419.3;1.47
23/02/2016;receta 10;7.0;11030;11678.22;4.66;3.66;4.05;6.58;6.42;6.3;barra 4,2 kg;6.29;5.3;5.1;39:15:00;31.48;5.49;56.86;5128.7;1.3
23/02/2016;receta 11;7.0;13530;13903.16;4.76;3.75;4.36;6.58;6.41;6.26;3 kg;6.3;5.34;5.16;16:00;30.71;5.35;56.03;17554.6;1.31
23/02/2016;receta 12;7.0;10730;11308.08;5.08;4.04;4.14;6.57;6.41;;barra 4,2 kg;6.27;5.2;5.05;;31.85;5.55;58.23;5098.1;1.3
23/02/2016;receta 13;8.0;11750;12548.0;5.35;3.98;4.23;6.57;6.33;6.2;barra 4,2 kg;6.34;5.8;5.59;14:20;32.86;5.7;56.85;6424.5;1.67
23/02/2016;receta 14;8.0;9890;10572.32;6.37;4.98;3.97;6.58;6.48;6.42;barra 4,2 kg;6.4;5.5;5.04;16:50;33.48;5.39;59.42;5527.0;1.3
24/02/2016;receta 15;7.0;9120;9768.79;5.06;3.99;4.16;6.55;6.45;6.37;1 kg;6.35;5.66;5.39;7:25;29.7;5.5;54.12;18381.0;1.96
24/02/2016;receta 15;7.0;9120;9686.63;5.49;4.31;4.48;6.55;6.45;6.38;1 kg;6.33;5.69;5.4;7:15;;;;9169.0;
24/02/2016;receta 16;7.0;9020;9450.37;5.03;3.89;4.56;6.59;6.41;6.36;barra 3 kg;6.2;5.13;4.9;40:00:00;31.16;5.39;58.19;17795.0;1.38
24/02/2016;receta 17;8.0;7900;8866.72;5.29;4.16;4.28;6.58;6.44;6.35;barra 3 kg;6.28;5.5;5.17;15:45;33.13;5.47;58.96;2566.0;1.56
24/02/2016;receta 17;5.0;7500;7500.0;4.9;3.89;4.01;6.61;6.44;6.35;barra 3 kg;6.27;5.37;5.2;13:53;32.13;5.4;57.42;1062.4;1.31
25/02/2016;receta 18;7.0;8510;9141.13;4.82;3.74;4.2;6.63;6.47;6.4;mini;6.35;5.7;5.42;3:50;31.06;5.61;57.24;3808.0;1.63
25/02/2016;receta 19;7.0;9020;9261.41;2.52;3.48;4.4;6.63;6.5;6.43;mini;6.38;5.8;5.48;4:10;19.81;;;3428.0;
25/02/2016;receta 02;7.0;11700;12311.0;6.19;4.87;4.66;6.62;6.5;6.46;3 kg;6.37;5.76;5.4;13:50;30.74;5.69;48.48;4929.0;1.93
