fecha;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct
31/12/2023;5622,0;5458,0;41,11;36,22;;;;5458,0;;;
01/01/2024;5110,0;4961,0;45,87;38,09;5026,0;41,73;35,82;5419,0;578,78;55,14;27,16
02/01/2024;5298,0;5144,0;42,66;36,31;5027,0;41,45;35,1;5563,0;598,91;57,45;28,62
03/01/2024;5708,0;5542,0;43,83;35,47;5023,0;41,73;34,53;6105,0;593,82;53,64;27,6
04/01/2024;5203,0;5051,0;42,42;37,25;5022,0;41,01;34,91;6156,0;612,93;52,67;27,59
05/01/2024;;;;;6183,0;41,19;35,02;;734,07;53,43;26,29
06/01/2024;;;;;;;;;;;
07/01/2024;4689,0;4552,0;43,94;36,02;;;;4552,0;;;
08/01/2024;5293,0;5139,0;45,8;35,76;5027,0;42,87;34,7;4691,0;613,96;54,23;27,74
09/01/2024;5239,0;5086,0;39,37;36,03;5028,0;39,86;34,52;4777,0;616,68;53,07;26,57
10/01/2024;4946,0;4802,0;42,69;35,61;5026,0;40,3;34,48;4579,0;571,81;57,06;27,59
11/01/2024;5551,0;5389,0;40,97;35,61;5030,0;39,79;34,01;4968,0;599,27;55,42;27,67
12/01/2024;;;;;4996,0;40,03;34,15;;593,47;57,25;29,02
13/01/2024;;;;;;;;;;;
14/01/2024;5113,0;4964,0;44,09;35,16;;;;4964,0;;;
15/01/2024;5382,0;5225,0;41,29;36,07;5031,0;40,25;33,87;5189,0;612,0;55,91;27,58
16/01/2024;5465,0;5306,0;40,59;36,59;5032,0;39,66;34,89;5495,0;586,03;54,2;29,14
17/01/2024;5023,0;4877,0;44,07;36,04;5025,0;40,48;34,81;5372,0;592,58;55,07;28,27
18/01/2024;5357,0;5201,0;43,01;36,14;5028,0;40,65;34,47;5573,0;598,19;56,03;28,45
19/01/2024;;;;;5590,0;40,99;34,67;;674,85;53,88;26,92
20/01/2024;;;;;;;;;;;
21/01/2024;5560,0;5398,0;46,25;36,26;;;;5398,0;;;
22/01/2024;5330,0;5175,0;41,18;36,97;5034,0;41,85;35,17;5573,0;605,28;55,26;28,58
23/01/2024;5192,0;5041,0;41,81;34,75;5025,0;40,53;34,17;5614,0;583,12;55,17;29,7
24/01/2024;5457,0;5298,0;42,25;35,66;5030,0;41,01;34,11;5912,0;594,22;53,94;27,8
25/01/2024;4562,0;4429,0;42,99;33,83;5019,0;40,84;33,37;5341,0;579,07;54,12;27,75
26/01/2024;;;;;5359,0;41,16;33,41;;620,37;56,5;28,43
27/01/2024;;;;;;;;;;;
28/01/2024;5454,0;5295,0;42,33;34,69;;;;5295,0;;;
29/01/2024;5063,0;4916,0;43,32;35,24;5022,0;40,69;33,45;5211,0;584,45;54,13;27,7
30/01/2024;5503,0;5343,0;42,1;37,27;5024,0;41,13;34,4;5554,0;566,9;54,94;28,35
31/01/2024;4932,0;4788,0;41,12;35,67;5024,0;39,82;34,2;5342,0;603,49;57,08;27,17
01/02/2024;4589,0;4455,0;44,23;36,45;5025,0;41,1;34,83;4797,0;576,16;53,38;27,1
02/02/2024;;;;;4831,0;40,8;34,72;;596,89;54,19;28,21
