analista;muestra;valor_referencia;repeticion;resultado
Analista_1;A_baja;3,4;1;3,42
Analista_1;A_baja;3,4;2;3,39
Analista_1;A_baja;3,4;3;3,43
Analista_1;B_media;3,8;1;3,86
Analista_1;B_media;3,8;2;3,79
Analista_1;B_media;3,8;3;3,79
Analista_1;C_alta;4,5;1;4,56
Analista_1;C_alta;4,5;2;4,53
Analista_1;C_alta;4,5;3;4,48
Analista_2;A_baja;3,4;1;3,44
Analista_2;A_baja;3,4;2;3,36
Analista_2;A_baja;3,4;3;3,36
Analista_2;B_media;3,8;1;3,82
Analista_2;B_media;3,8;2;3,65
Analista_2;B_media;3,8;3;3,66
Analista_2;C_alta;4,5;1;4,46
Analista_2;C_alta;4,5;2;4,42
Analista_2;C_alta;4,5;3;4,53
Analista_3;A_baja;3,4;1;3,39
Analista_3;A_baja;3,4;2;3,33
Analista_3;A_baja;3,4;3;3,68
Analista_3;B_media;3,8;1;3,87
Analista_3;B_media;3,8;2;3,91
Analista_3;B_media;3,8;3;3,73
Analista_3;C_alta;4,5;1;4,53
Analista_3;C_alta;4,5;2;4,61
Analista_3;C_alta;4,5;3;4,46
Analista_4;A_baja;3,4;1;3,07
Analista_4;A_baja;3,4;2;3,01
Analista_4;A_baja;3,4;3;3,03
Analista_4;B_media;3,8;1;3,41
Analista_4;B_media;3,8;2;3,56
Analista_4;B_media;3,8;3;3,45
Analista_4;C_alta;4,5;1;4,09
Analista_4;C_alta;4,5;2;4,2
Analista_4;C_alta;4,5;3;4,08
Analista_5;A_baja;3,4;1;3,45
Analista_5;A_baja;3,4;2;2,91
Analista_5;A_baja;3,4;3;3,07
Analista_5;B_media;3,8;1;3,85
Analista_5;B_media;3,8;2;3,98
Analista_5;B_media;3,8;3;3,84
Analista_5;C_alta;4,5;1;4,47
Analista_5;C_alta;4,5;2;4,42
Analista_5;C_alta;4,5;3;4,13
