fecha;local;visitante;goles_local;goles_visitante;resultado
15/08/2024;Ath Bilbao;Getafe;1;1;D
15/08/2024;Betis;Girona;1;1;D
16/08/2024;Celta;Alaves;2;1;H
16/08/2024;Las Palmas;Sevilla;2;2;D
17/08/2024;Osasuna;Leganes;1;1;D
17/08/2024;Valencia;Barcelona;1;2;A
18/08/2024;Sociedad;Vallecano;1;2;A
18/08/2024;Mallorca;Real Madrid;1;1;D
19/08/2024;Valladolid;Espanol;1;0;H
19/08/2024;Villarreal;Ath Madrid;2;2;D
23/08/2024;Celta;Valencia;3;1;H
23/08/2024;Sevilla;Villarreal;1;2;A
24/08/2024;Osasuna;Mallorca;1;0;H
24/08/2024;Barcelona;Ath Bilbao;2;1;H
24/08/2024;Espanol;Sociedad;0;1;A
24/08/2024;Getafe;Vallecano;0;0;D
25/08/2024;Real Madrid;Valladolid;3;0;H
25/08/2024;Leganes;Las Palmas;2;1;H
25/08/2024;Alaves;Betis;0;0;D
25/08/2024;Ath Madrid;Girona;3;0;H
26/08/2024;Villarreal;Celta;4;3;H
27/08/2024;Mallorca;Sevilla;0;0;D
27/08/2024;Vallecano;Barcelona;1;2;A
28/08/2024;Ath Bilbao;Valencia;1;0;H
28/08/2024;Valladolid;Leganes;0;0;D
28/08/2024;Ath Madrid;Espanol;0;0;D
28/08/2024;Sociedad;Alaves;1;2;A
29/08/2024;Girona;Osasuna;4;0;H
29/08/2024;Las Palmas;Real Madrid;1;1;D
31/08/2024;Barcelona;Valladolid;7;0;H
31/08/2024;Ath Bilbao;Ath Madrid;0;1;A
31/08/2024;Espanol;Vallecano;2;1;H
31/08/2024;Leganes;Mallorca;0;1;A
31/08/2024;Valencia;Villarreal;1;1;D
01/09/2024;Alaves;Las Palmas;2;0;H
01/09/2024;Osasuna;Celta;3;2;H
01/09/2024;Sevilla;Girona;0;2;A
01/09/2024;Getafe;Sociedad;0;0;D
01/09/2024;Real Madrid;Betis;2;0;H
13/09/2024;Betis;Leganes;2;0;H
14/09/2024;Mallorca;Villarreal;1;2;A
14/09/2024;Espanol;Alaves;3;2;H
14/09/2024;Sevilla;Getafe;1;0;H
14/09/2024;Sociedad;Real Madrid;0;2;A
15/09/2024;Celta;Valladolid;3;1;H
15/09/2024;Girona;Barcelona;1;4;A
15/09/2024;Las Palmas;Ath Bilbao;2;3;A
15/09/2024;Ath Madrid;Valencia;3;0;H
16/09/2024;Vallecano;Osasuna;3;1;H
17/09/2024;Mallorca;Sociedad;1;0;H
18/09/2024;Betis;Getafe;2;1;H
19/09/2024;Leganes;Ath Bilbao;0;2;A
20/09/2024;Alaves;Sevilla;2;1;H
21/09/2024;Valladolid;Sociedad;0;0;D
21/09/2024;Osasuna;Las Palmas;2;1;H
21/09/2024;Valencia;Girona;2;0;H
21/09/2024;Real Madrid;Espanol;4;1;H
22/09/2024;Getafe;Leganes;1;1;D
22/09/2024;Ath Bilbao;Celta;3;1;H
22/09/2024;Villarreal;Barcelona;1;5;A
22/09/2024;Vallecano;Ath Madrid;1;1;D
23/09/2024;Betis;Mallorca;1;2;A
24/09/2024;Sevilla;Valladolid;2;1;H
24/09/2024;Valencia;Osasuna;0;0;D
24/09/2024;Real Madrid;Alaves;3;2;H
25/09/2024;Girona;Vallecano;0;0;D
25/09/2024;Barcelona;Getafe;1;0;H
26/09/2024;Espanol;Villarreal;1;2;A
26/09/2024;Las Palmas;Betis;1;1;D
26/09/2024;Celta;Ath Madrid;0;1;A
27/09/2024;Valladolid;Mallorca;1;2;A
28/09/2024;Getafe;Alaves;2;0;H
28/09/2024;Vallecano;Leganes;1;1;D
28/09/2024;Sociedad;Valencia;3;0;H
28/09/2024;Osasuna;Barcelona;4;2;H
29/09/2024;Celta;Girona;1;1;D
29/09/2024;Ath Bilbao;Sevilla;1;1;D
29/09/2024;Betis;Espanol;1;0;H
29/09/2024;Ath Madrid;Real Madrid;1;1;D
30/09/2024;Villarreal;Las Palmas;3;1;H
04/10/2024;Leganes;Valencia;0;0;D
05/10/2024;Espanol;Mallorca;2;1;H
05/10/2024;Getafe;Osasuna;1;1;D
05/10/2024;Las Palmas;Celta;0;1;A
05/10/2024;Valladolid;Vallecano;1;2;A
05/10/2024;Real Madrid;Villarreal;2;0;H
06/10/2024;Girona;Ath Bilbao;2;1;H
06/10/2024;Alaves;Barcelona;0;3;A
06/10/2024;Sevilla;Betis;1;0;H
06/10/2024;Sociedad;Ath Madrid;1;1;D
18/10/2024;Alaves;Valladolid;2;3;A
19/10/2024;Ath Bilbao;Espanol;4;1;H
19/10/2024;Osasuna;Betis;1;2;A
19/10/2024;Girona;Sociedad;0;1;A
19/10/2024;Celta;Real Madrid;1;2;A
20/10/2024;Mallorca;Vallecano;1;0;H
20/10/2024;Ath Madrid;Leganes;3;1;H
20/10/2024;Villarreal;Getafe;1;1;D
20/10/2024;Barcelona;Sevilla;5;1;H
21/10/2024;Valencia;Las Palmas;2;3;A
25/10/2024;Espanol;Sevilla;0;2;A
26/10/2024;Valladolid;Villarreal;1;2;A
26/10/2024;Vallecano;Alaves;1;0;H
26/10/2024;Las Palmas;Girona;1;0;H
26/10/2024;Real Madrid;Barcelona;0;4;A
27/10/2024;Leganes;Celta;3;0;H
27/10/2024;Getafe;Valencia;1;1;D
27/10/2024;Betis;Ath Madrid;1;0;H
27/10/2024;Sociedad;Osasuna;0;2;A
28/10/2024;Mallorca;Ath Bilbao;0;0;D
01/11/2024;Alaves;Mallorca;1;0;H
02/11/2024;Osasuna;Valladolid;1;0;H
02/11/2024;Girona;Leganes;4;3;H
03/11/2024;Ath Madrid;Las Palmas;2;0;H
03/11/2024;Barcelona;Espanol;3;1;H
03/11/2024;Sevilla;Sociedad;0;2;A
03/11/2024;Ath Bilbao;Betis;1;1;D
04/11/2024;Celta;Getafe;1;0;H
