timestamp;n_envase;subgrupo;pos_subgrupo;peso_g;muestra
2024-06-15 08:00:00;1;1;1;152,25;1
2024-06-15 08:00:45;16;4;1;150,66;1
2024-06-15 08:01:30;31;7;1;150,6;1
2024-06-15 08:02:12;45;9;5;149,28;1
2024-06-15 08:02:57;60;12;5;152,96;1
2024-06-15 08:03:00;61;13;1;150,78;2
2024-06-15 08:03:45;76;16;1;152,73;2
2024-06-15 08:04:30;91;19;1;151,65;2
2024-06-15 08:05:12;105;21;5;151,26;2
2024-06-15 08:05:57;120;24;5;152,63;2
2024-06-15 08:06:00;121;25;1;152,69;3
2024-06-15 08:06:45;136;28;1;153,82;3
2024-06-15 08:07:30;151;31;1;151,88;3
2024-06-15 08:08:12;165;33;5;152,95;3
2024-06-15 08:08:57;180;36;5;155,58;3
2024-06-15 08:09:00;181;37;1;152,44;4
2024-06-15 08:09:45;196;40;1;152,08;4
2024-06-15 08:10:30;211;43;1;152,36;4
2024-06-15 08:11:12;225;45;5;150,79;4
2024-06-15 08:11:57;240;48;5;152,78;4
2024-06-15 08:12:00;241;49;1;150,31;5
2024-06-15 08:12:45;256;52;1;150,77;5
2024-06-15 08:13:30;271;55;1;153,66;5
2024-06-15 08:14:12;285;57;5;154,7;5
2024-06-15 08:14:57;300;60;5;152,44;5
2024-06-15 08:15:00;301;61;1;150,26;6
2024-06-15 08:15:45;316;64;1;151,53;6
2024-06-15 08:16:30;331;67;1;151,48;6
2024-06-15 08:17:12;345;69;5;150,79;6
2024-06-15 08:17:57;360;72;5;150,26;6
2024-06-15 08:18:00;361;73;1;152,28;7
2024-06-15 08:18:45;376;76;1;150,35;7
2024-06-15 08:19:30;391;79;1;150,15;7
2024-06-15 08:20:12;405;81;5;150,82;7
2024-06-15 08:20:57;420;84;5;151,6;7
2024-06-15 08:21:00;421;85;1;154,59;8
2024-06-15 08:21:45;436;88;1;151,61;8
2024-06-15 08:22:30;451;91;1;151,41;8
2024-06-15 08:23:12;465;93;5;151,33;8
2024-06-15 08:23:57;480;96;5;153,18;8
2024-06-15 08:24:00;481;97;1;151,31;9
2024-06-15 08:24:45;496;100;1;152,31;9
2024-06-15 08:25:30;511;103;1;151,91;9
2024-06-15 08:26:12;525;105;5;150,36;9
2024-06-15 08:26:57;540;108;5;150,63;9
2024-06-15 08:27:00;541;109;1;152,75;10
2024-06-15 08:27:45;556;112;1;150,88;10
2024-06-15 08:28:30;571;115;1;151,53;10
2024-06-15 08:29:12;585;117;5;151,77;10
2024-06-15 08:29:57;600;120;5;152,07;10
2024-06-15 08:30:00;601;121;1;152,64;11
2024-06-15 08:30:45;616;124;1;151,69;11
2024-06-15 08:31:30;631;127;1;148,96;11
2024-06-15 08:32:12;645;129;5;151,13;11
2024-06-15 08:32:57;660;132;5;151,28;11
2024-06-15 08:33:00;661;133;1;150,64;12
2024-06-15 08:33:45;676;136;1;150,33;12
2024-06-15 08:34:30;691;139;1;150,96;12
2024-06-15 08:35:12;705;141;5;149,17;12
2024-06-15 08:35:57;720;144;5;151,41;12
2024-06-15 08:36:00;721;145;1;151,96;13
2024-06-15 08:36:45;736;148;1;152,21;13
2024-06-15 08:37:30;751;151;1;150,12;13
2024-06-15 08:38:12;765;153;5;153,22;13
2024-06-15 08:38:57;780;156;5;152,43;13
2024-06-15 08:39:00;781;157;1;151,77;14
2024-06-15 08:39:45;796;160;1;153,08;14
2024-06-15 08:40:30;811;163;1;151,22;14
2024-06-15 08:41:12;825;165;5;150,83;14
2024-06-15 08:41:57;840;168;5;151,18;14
2024-06-15 08:42:00;841;169;1;151,43;15
2024-06-15 08:42:45;856;172;1;150,64;15
2024-06-15 08:43:30;871;175;1;151,23;15
2024-06-15 08:44:12;885;177;5;152,52;15
2024-06-15 08:44:57;900;180;5;150,27;15
2024-06-15 08:45:00;901;181;1;152,05;16
2024-06-15 08:45:45;916;184;1;151,92;16
2024-06-15 08:46:30;931;187;1;150,67;16
2024-06-15 08:47:12;945;189;5;154,27;16
2024-06-15 08:47:57;960;192;5;152,17;16
2024-06-15 08:48:00;961;193;1;152,46;17
2024-06-15 08:48:45;976;196;1;148,67;17
2024-06-15 08:49:30;991;199;1;151,81;17
2024-06-15 08:50:12;1005;201;5;152,56;17
2024-06-15 08:50:57;1020;204;5;152,17;17
2024-06-15 08:51:00;1021;205;1;152,33;18
2024-06-15 08:51:45;1036;208;1;153,93;18
2024-06-15 08:52:30;1051;211;1;150,65;18
2024-06-15 08:53:12;1065;213;5;151,06;18
2024-06-15 08:53:57;1080;216;5;152,91;18
2024-06-15 08:54:00;1081;217;1;151,12;19
2024-06-15 08:54:45;1096;220;1;151,55;19
2024-06-15 08:55:30;1111;223;1;151,41;19
2024-06-15 08:56:12;1125;225;5;154,16;19
2024-06-15 08:56:57;1140;228;5;152,79;19
2024-06-15 08:57:00;1141;229;1;151,3;20
2024-06-15 08:57:45;1156;232;1;153,28;20
2024-06-15 08:58:30;1171;235;1;152,93;20
2024-06-15 08:59:12;1185;237;5;150,32;20
2024-06-15 08:59:57;1200;240;5;153,88;20
2024-06-15 09:00:00;1201;241;1;152,03;21
2024-06-15 09:00:45;1216;244;1;153,74;21
2024-06-15 09:01:30;1231;247;1;151,06;21
2024-06-15 09:02:12;1245;249;5;150,93;21
2024-06-15 09:02:57;1260;252;5;151,85;21
2024-06-15 09:03:00;1261;253;1;152,78;22
2024-06-15 09:03:45;1276;256;1;152,18;22
2024-06-15 09:04:30;1291;259;1;152,57;22
2024-06-15 09:05:12;1305;261;5;152,81;22
2024-06-15 09:05:57;1320;264;5;151,75;22
2024-06-15 09:06:00;1321;265;1;152,13;23
2024-06-15 09:06:45;1336;268;1;151,56;23
2024-06-15 09:07:30;1351;271;1;150,34;23
2024-06-15 09:08:12;1365;273;5;153,9;23
2024-06-15 09:08:57;1380;276;5;154,87;23
2024-06-15 09:09:00;1381;277;1;153,16;24
2024-06-15 09:09:45;1396;280;1;152,44;24
2024-06-15 09:10:30;1411;283;1;154,18;24
2024-06-15 09:11:12;1425;285;5;150,64;24
2024-06-15 09:11:57;1440;288;5;153,34;24
2024-06-15 09:12:00;1441;289;1;153,24;25
2024-06-15 09:12:45;1456;292;1;149,63;25
2024-06-15 09:13:30;1471;295;1;154,09;25
2024-06-15 09:14:12;1485;297;5;152,65;25
2024-06-15 09:14:57;1500;300;5;153,22;25
2024-06-15 09:15:00;1501;301;1;153,51;26
2024-06-15 09:15:45;1516;304;1;152,18;26
