fecha;temperatura
01/01/2020;9,2
01/02/2020;9,8
01/03/2020;11,4
01/04/2020;11,6
01/05/2020;14,2
01/06/2020;17,1
01/07/2020;18,9
01/08/2020;19,4
01/09/2020;18,2
01/10/2020;14,8
01/11/2020;11,3
01/12/2020;9,6
01/01/2021;8,4
01/02/2021;7,9
01/03/2021;10,2
01/04/2021;12,1
01/05/2021;13,8
01/06/2021;16,4
01/07/2021;19,2
01/08/2021;20,1
01/09/2021;18,6
01/10/2021;15,2
01/11/2021;12,1
01/12/2021;10,4
01/01/2022;9,1
01/02/2022;10,3
01/03/2022;11,8
01/04/2022;12,4
01/05/2022;15,1
01/06/2022;18,3
01/07/2022;22,4
01/08/2022;21,2
01/09/2022;19,1
01/10/2022;15,6
01/11/2022;11,8
01/12/2022;9,8
01/01/2023;9,6
01/02/2023;11,2
01/03/2023;12,1
01/04/2023;13,4
01/05/2023;15,6
01/06/2023;18,9
01/07/2023;21,3
01/08/2023;20,8
01/09/2023;19,4
01/10/2023;16,1
01/11/2023;13,2
01/12/2023;11,4
01/01/2024;10,2
01/02/2024;11,8
01/03/2024;12,6
01/04/2024;13,8
01/05/2024;16,2
01/06/2024;19,4
01/07/2024;21,8
01/08/2024;21,1
01/09/2024;19,8
01/10/2024;16,4
01/11/2024;12,6
01/12/2024;10,8
