fecha;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;cuba_fab_litros;cuba_fab_grasa_g_l;cuba_fab_prot_g_l;stock_cierre_litros;queso_kg;queso_est_pct;queso_mg_pct;suero_litros;suero_grasa_g_l;suero_prot_g_l;suero_es_g_l
31/12/2023;5338;5183;45,19;37,55;0;0,0;0,0;5183;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01/01/2024;5634;5470;43,44;35,2;5029;42,43;34,43;5653;611,93;53,48;27,69;4457,0;9,66;6,86;67,63
02/01/2024;4856;4715;43,04;35,21;5027;41,85;34,0;5368;616,49;50,97;26,77;4450,0;9,97;6,07;66,64
03/01/2024;4695;4558;42,06;36,16;5022;41,39;34,44;4926;666,37;52,2;27,5;4396,0;5,47;4,5;62,14
04/01/2024;4706;4569;42,1;34,64;5034;40,54;33,73;4495;604,53;54,11;27,26;4469,0;8,5;6,36;65,8
05/01/2024;0;0;0,0;0,0;4511;40,68;33,43;0;595,99;52,58;26,16;3952,0;6,86;2,36;60,77
06/01/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
07/01/2024;4904;4761;42,63;35,3;0;0,0;0,0;4761;0,0;0,0;0,0;0,0;0,0;0,0;0,0
08/01/2024;4840;4699;44,47;36,85;5025;41,56;34,51;4460;597,41;53,8;27,39;4467,0;9,86;7,41;67,93
09/01/2024;5283;5129;44,7;36,78;5025;42,4;34,71;4589;589,11;52,69;26,7;4475,0;12,21;7,67;70,67
10/01/2024;5034;4887;42,85;38,02;5026;41,04;35,42;4476;658,91;50,26;26,38;4408,0;7,21;4,76;63,75
11/01/2024;5142;4992;41,3;35,75;5025;40,31;34,71;4468;630,57;52,3;26,66;4434,0;7,64;6,51;64,5
12/01/2024;0;0;0,0;0,0;4491;40,52;34,99;0;573,89;52,77;27,81;3953,0;5,54;4,86;63,11
13/01/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14/01/2024;5003;4857;42,53;35,27;0;0,0;0,0;4857;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15/01/2024;4863;4721;43,85;34,17;5023;41,04;33,18;4578;655,76;52,45;26,11;4408,0;7,8;2,82;62,09
16/01/2024;5823;5653;42,24;34,99;5026;40,59;33,14;5231;624,35;52,17;26,76;4441,0;8,09;5,83;66,05
17/01/2024;4928;4784;43,33;35,73;5021;40,9;33,37;5015;699,69;49,24;26,12;4363,0;5,05;2,01;58,7
18/01/2024;5300;5146;44,29;36,21;5026;42,0;34,43;5161;624,8;51,74;27,04;4441,0;9,23;5,98;67,07
19/01/2024;0;0;0,0;0,0;5179;42,25;34,02;0;637,87;52,74;27,77;4582,0;8,91;7,18;68,66
20/01/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21/01/2024;5208;5056;41,41;38,04;0;0,0;0,0;5056;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22/01/2024;4932;4788;41,65;35,77;5027;39,54;35,18;4844;623,18;52,51;26,74;4444,0;7,15;8,04;66,25
23/01/2024;5106;4957;44,25;36,81;5014;40,91;35,44;4801;706,68;50,56;26,7;4349,0;3,71;4,44;58,89
24/01/2024;5593;5430;42,65;35,49;5028;40,88;34,84;5231;594,14;53,05;26,45;4473,0;10,65;8,18;68,07
25/01/2024;4818;4678;39,69;35,06;5028;39,73;33,91;4909;698,68;50,03;26,39;4371,0;3,41;3,52;57,38
26/01/2024;0;0;0,0;0,0;4931;39,17;33,94;0;598,56;52,93;26,92;4371,0;7,19;5,27;63,66
27/01/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28/01/2024;5330;5175;43,53;33,58;0;0,0;0,0;5175;0,0;0,0;0,0;0,0;0,0;0,0;0,0
29/01/2024;5041;4894;41,0;35,49;5028;40,78;32,63;5069;603,31;53,1;27,76;4464,0;8,22;5,09;64,34
30/01/2024;5022;4876;42,24;35,41;5027;40,24;33,46;4945;610,32;51,21;27,45;4456,0;7,7;5,97;64,64
31/01/2024;5378;5221;42,4;34,7;5016;40,35;33,36;5166;636,58;51,55;25,87;4419,0;8,38;4,33;65,18
01/02/2024;5218;5066;40,5;36,78;5023;39,94;34,51;5232;614,03;52,47;27,0;4448,0;7,73;8,43;66,17
02/02/2024;0;0;0,0;0,0;5260;39,5;34,21;0;698,52;51,47;27,05;4604,0;3,98;5,51;60,02
03/02/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
04/02/2024;5639;5475;39,57;34,23;0;0,0;0,0;5475;0,0;0,0;0,0;0,0;0,0;0,0;0,0
05/02/2024;5183;5032;40,9;34,31;5034;38,4;32,85;5507;594,01;52,97;27,03;4479,0;7,15;5,73;63,31
06/02/2024;4889;4747;46,14;35,38;5018;41,07;33,27;5254;615,12;51,65;26,93;4442,0;8,88;5,69;67,04
07/02/2024;5154;5004;43,21;36,31;5027;41,07;34,23;5258;649,41;52,61;27,32;4418,0;6,39;4,66;61,73
08/02/2024;5438;5280;43,0;34,63;5029;40,93;33,22;5538;610,34;51,24;26,45;4458,0;9,73;6,48;67,63
09/02/2024;0;0;0,0;0,0;5568;41,32;33,35;0;677,48;52,05;26,67;4934,0;9,75;5,54;65,28
10/02/2024;0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11/02/2024;5289;5135;42,24;36,08;0;0,0;0,0;5135;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12/02/2024;5211;5059;42,41;35,21;5028;40,67;33,92;5194;678,61;52,87;27,06;4390,0;4,69;4,07;59,93
