fecha;codruta;tipoleche;peso;temp;acidez;ph;densidad;est;mg;prot;lactosa;caseina
04/11/2015;13;VACA;13380;6;15;6,84;1,03;12,45;3,71;3,34;4,71;2,31
04/11/2015;13;VACA;8520;6;15;6,81;1,03;12,83;3,94;3,4;4,74;2,41
04/11/2015;22;VACA;23900;6;15;6,82;1,03;12,47;3,66;3,22;4,85;2,29
04/11/2015;41;CABRA;4180;6,1;14;6,86;1,032;14,88;5,5;3,95;4,7;2,88
04/11/2015;24;VACA;14640;7,7;15;6,86;1,03;12,35;3,68;3,25;4,69;2,26
04/11/2015;24;VACA;7500;6;15;6,82;1,03;12,64;3,83;3,24;4,77;2,28
04/11/2015;40;OVEJA;2360;6;20;6,78;1,036;19,43;8,18;5,72;4,73;4,42
04/11/2015;40;CABRA;3980;4;15;6,81;1,032;16,1;6,46;4,29;4,58;3,03
04/11/2015;32;VACA;25620;2;15;6,85;1,03;12,73;3,71;3,44;4,91;2,43
04/11/2015;29;VACA;16000;4,8;15;6,83;1,03;11,93;3,41;3,12;4,64;2,13
04/11/2015;29;VACA;13260;6,2;15;6,86;1,03;12,2;3,5;3,27;4,67;2,26
04/11/2015;28;VACA;16680;6,5;15;6,84;1,03;13,25;4,22;3,35;4,91;2,43
04/11/2015;26;VACA;6040;4,4;16;6,81;1,03;12,68;3,8;3,31;4,84;2,33
04/11/2015;43;OVEJA;1180;7,6;20;6,83;1,036;19,7;8,46;6,28;4,3;4,74
04/11/2015;43;CABRA;600;7,5;14;6,85;1,032;15,85;6,12;4,4;4,6;3,19
04/11/2015;38;CABRA;5520;4,5;14;6,86;1,032;15,47;6,04;3,9;4,69;2,89
04/11/2015;38;OVEJA;1540;3,7;19;6,83;1,036;18,54;7,64;5,84;4,4;4,33
04/11/2015;8;VACA;24700;5,5;15;6,78;1,03;12,6;3,68;3,35;4,9;2,4
04/11/2015;37;CABRA;2220;6,8;14;6,85;1,032;15,69;5,76;4,51;4,71;3,27
04/11/2015;25;VACA;10640;6,2;15;6,82;1,03;13,15;4,26;3,3;4,79;2,34
04/11/2015;27;VACA;12040;7,2;15;6,86;1,03;12,7;3,9;3,34;4,72;2,36
04/11/2015;42;CABRA;1980;6,5;14;6,84;1,032;14,4;5,11;3,87;4,62;2,82
04/11/2015;42;OVEJA;4580;5;20;6,73;1,036;19,59;8,56;5,62;4,6;4,35
04/11/2015;39;CABRA;1980;6,4;14;6,84;1,032;16,03;6,34;4,13;4,76;3,01
04/11/2015;39;OVEJA;8080;3,8;20;6,81;1,036;19,45;8,26;5,76;4,6;4,42
05/11/2015;30;VACA;15880;5,2;15;6,86;1,03;12,53;3,75;3,35;4,71;2,32
05/11/2015;30;VACA;11300;5,3;15;6,85;1,03;12,53;3,75;3,35;4,71;2,31
05/11/2015;40;OVEJA;4400;7;20;6,81;1,036;19,09;7,98;5,73;4,62;4,4
05/11/2015;43;OVEJA;400;8;20;6,78;1,036;20,63;9,05;6,47;4,54;4,78
05/11/2015;43;CABRA;2900;6,3;14;6,85;1,032;14,3;5,05;3,88;4,7;2,88
05/11/2015;32;VACA;24660;5,9;15;6,86;1,03;12,33;3,62;3,22;4,71;2,25
