fecha;cod_ruta;leche_tipo;leche_kg;leche_temp;leche_acidez;leche_ph;leche_dens;leche_est;leche_mg;leche_prot;leche_lactosa;leche_caseina
04/11/2015;13;VACA;13380;6;15;6,84;1,03;12,45;3,71;3,34;4,71;2,31
04/11/2015;13;VACA;8520;6;15;6,81;1,03;12,83;3,94;3,4;4,74;2,41
04/11/2015;22;VACA;23900;6;15;6,82;1,03;12,47;3,66;3,22;4,85;2,29
04/11/2015;24;VACA;14640;7,7;15;6,86;1,03;12,35;3,68;3,25;4,69;2,26
04/11/2015;24;VACA;7500;6;15;6,82;1,03;12,64;3,83;3,24;4,77;2,28
04/11/2015;32;VACA;25620;2;15;6,85;1,03;12,73;3,71;3,44;4,91;2,43
04/11/2015;29;VACA;16000;4,8;15;6,83;1,03;11,93;3,41;3,12;4,64;2,13
04/11/2015;29;VACA;13260;6,2;15;6,86;1,03;12,2;3,5;3,27;4,67;2,26
04/11/2015;28;VACA;16680;6,5;15;6,84;1,03;13,25;4,22;3,35;4,91;2,43
04/11/2015;26;VACA;6040;4,4;16;6,81;1,03;12,68;3,8;3,31;4,84;2,33
04/11/2015;8;VACA;24700;5,5;15;6,78;1,03;12,6;3,68;3,35;4,9;2,4
04/11/2015;25;VACA;10640;6,2;15;6,82;1,03;13,15;4,26;3,3;4,79;2,34
04/11/2015;27;VACA;12040;7,2;15;6,86;1,03;12,7;3,9;3,34;4,72;2,36
05/11/2015;30;VACA;15880;5,2;15;6,86;1,03;12,53;3,75;3,35;4,71;2,32
05/11/2015;30;VACA;11300;5,3;15;6,85;1,03;12,53;3,75;3,35;4,71;2,31
05/11/2015;32;VACA;24660;5,9;15;6,86;1,03;12,33;3,62;3,22;4,71;2,25
05/11/2015;26;VACA;6080;4,5;15;6,81;1,03;12,61;3,77;3,27;4,82;2,31
05/11/2015;25;VACA;10240;5;15;6,85;1,03;13,01;4,19;3,23;4,73;2,3
05/11/2015;27;VACA;13340;7,8;15;6,83;1,03;12,66;3,86;3,31;4,8;2,35
06/11/2015;22;VACA;23860;6;15;6,84;1,03;12,35;3,55;3,21;4,84;2,33
06/11/2015;26;VACA;6060;4,5;16;6,81;1,03;12,71;3,85;3,27;4,84;2,31
06/11/2015;24;VACA;16500;6,4;15;6,86;1,03;12,41;3,7;3,17;4,77;2,25
06/11/2015;24;VACA;7900;4,8;153;6,84;1,03;12,56;3,85;3,2;4,73;2,23
06/11/2015;32;VACA;25880;2;15;6,8;1,03;12,76;3,75;3,42;4,9;2,46
06/11/2015;28;VACA;16160;6,5;15;6,85;1,03;13,13;4,12;3,36;4,92;2,47
06/11/2015;29;VACA;15860;6,5;15;6,85;1,03;11,81;3,35;3,11;4,58;2,13
06/11/2015;29;VACA;13840;5,6;15;6,82;1,03;12,33;3,63;3,28;4,66;2,32
06/11/2015;25;VACA;10400;5,7;15;6,81;1,03;13,04;4,22;3,25;4,8;2,29
06/11/2015;27;VACA;11980;7,2;15;6,86;1,03;12,65;3,87;3,33;4,72;2,32
07/11/2015;22;VACA;24560;6,2;15;6,85;1,03;12,35;3,5;3,23;4,9;2,31
07/11/2015;29;VACA;15900;4,8;15;6,84;1,03;11,91;3,25;3,18;4,72;2,19
