hora_envasado,peso_g
2024-10-01 08:00:00,153.74
2024-10-01 08:00:03,152.15
2024-10-01 08:00:06,154.12
2024-10-01 08:00:09,156.31
2024-10-01 08:00:12,151.91
2024-10-01 08:00:15,151.91
2024-10-01 08:00:18,156.45
2024-10-01 08:00:21,154.42
2024-10-01 08:00:24,151.33
2024-10-01 08:00:27,153.86
2024-10-01 08:00:30,151.34
2024-10-01 08:00:33,151.34
2024-10-01 08:00:36,153.1
2024-10-01 08:00:39,147.72
2024-10-01 08:00:42,148.19
2024-10-01 08:00:45,151.09
2024-10-01 08:00:48,149.97
2024-10-01 08:00:51,153.29
2024-10-01 08:00:54,150.23
2024-10-01 08:00:57,148.97
2024-10-01 08:01:00,156.16
2024-10-01 08:01:03,151.94
2024-10-01 08:01:06,152.67
2024-10-01 08:01:09,148.94
2024-10-01 08:01:12,151.14
2024-10-01 08:01:15,152.78
2024-10-01 08:01:18,149.62
2024-10-01 08:01:21,153.44
2024-10-01 08:01:24,151.0
2024-10-01 08:01:27,151.77
2024-10-01 08:01:30,151.0
2024-10-01 08:01:33,157.13
2024-10-01 08:01:36,152.47
2024-10-01 08:01:39,149.86
2024-10-01 08:01:42,154.56
2024-10-01 08:01:45,149.45
2024-10-01 08:01:48,153.02
2024-10-01 08:01:51,147.6
2024-10-01 08:01:54,149.18
2024-10-01 08:01:57,152.99
2024-10-01 08:02:00,154.35
2024-10-01 08:02:03,152.93
2024-10-01 08:02:06,152.21
2024-10-01 08:02:09,151.75
2024-10-01 08:02:12,148.8
2024-10-01 08:02:15,150.7
2024-10-01 08:02:18,151.35
2024-10-01 08:02:21,155.14
2024-10-01 08:02:24,153.36
2024-10-01 08:02:27,148.09
2024-10-01 08:02:30,153.31
2024-10-01 08:02:33,151.54
2024-10-01 08:02:36,150.81
2024-10-01 08:02:39,154.03
2024-10-01 08:02:42,155.08
2024-10-01 08:02:45,154.83
2024-10-01 08:02:48,150.4
2024-10-01 08:02:51,151.73
2024-10-01 08:02:54,153.33
2024-10-01 08:02:57,154.94
2024-10-01 08:03:00,151.3
2024-10-01 08:03:03,152.04
2024-10-01 08:03:06,149.73
2024-10-01 08:03:09,149.51
2024-10-01 08:03:12,154.53
2024-10-01 08:03:15,155.89
2024-10-01 08:03:18,152.32
2024-10-01 08:03:21,155.01
2024-10-01 08:03:24,153.4
2024-10-01 08:03:27,150.89
2024-10-01 08:03:30,153.4
2024-10-01 08:03:33,156.35
2024-10-01 08:03:36,152.41
2024-10-01 08:03:39,156.41
2024-10-01 08:03:42,145.95
2024-10-01 08:03:45,154.55
2024-10-01 08:03:48,152.72
2024-10-01 08:03:51,151.75
2024-10-01 08:03:54,152.73
2024-10-01 08:03:57,147.53
2024-10-01 08:04:00,151.95
2024-10-01 08:04:03,153.39
2024-10-01 08:04:06,156.19
2024-10-01 08:04:09,151.2
2024-10-01 08:04:12,150.48
2024-10-01 08:04:15,151.25
2024-10-01 08:04:18,154.79
2024-10-01 08:04:21,153.32
2024-10-01 08:04:24,151.18
2024-10-01 08:04:27,153.78
2024-10-01 08:04:30,152.74
2024-10-01 08:04:33,154.92
2024-10-01 08:04:36,150.74
2024-10-01 08:04:39,151.68
2024-10-01 08:04:42,151.52
2024-10-01 08:04:45,148.84
2024-10-01 08:04:48,153.24
2024-10-01 08:04:51,153.15
2024-10-01 08:04:54,152.51
2024-10-01 08:04:57,151.91
2024-10-01 08:05:00,148.96
2024-10-01 08:05:03,151.45
2024-10-01 08:05:06,151.64
2024-10-01 08:05:09,150.49
2024-10-01 08:05:12,152.1
2024-10-01 08:05:15,153.51
2024-10-01 08:05:18,157.22
2024-10-01 08:05:21,152.94
2024-10-01 08:05:24,153.14
2024-10-01 08:05:27,152.31
2024-10-01 08:05:30,147.7
2024-10-01 08:05:33,152.43
2024-10-01 08:05:36,152.65
2024-10-01 08:05:39,158.66
2024-10-01 08:05:42,152.02
2024-10-01 08:05:45,153.25
2024-10-01 08:05:48,152.41
2024-10-01 08:05:51,149.58
2024-10-01 08:05:54,155.36
2024-10-01 08:05:57,154.38
2024-10-01 08:06:00,154.48
2024-10-01 08:06:03,150.23
2024-10-01 08:06:06,156.01
2024-10-01 08:06:09,149.0
2024-10-01 08:06:12,153.97
2024-10-01 08:06:15,157.98
2024-10-01 08:06:18,150.02
2024-10-01 08:06:21,151.08
2024-10-01 08:06:24,152.75
2024-10-01 08:06:27,151.24
2024-10-01 08:06:30,148.62
2024-10-01 08:06:33,152.67
2024-10-01 08:06:36,149.84
2024-10-01 08:06:39,153.68
2024-10-01 08:06:42,150.2
2024-10-01 08:06:45,156.37
2024-10-01 08:06:48,150.54
2024-10-01 08:06:51,151.69
2024-10-01 08:06:54,154.53
2024-10-01 08:06:57,149.42
2024-10-01 08:07:00,153.07
2024-10-01 08:07:03,155.77
2024-10-01 08:07:06,148.48
2024-10-01 08:07:09,152.96
2024-10-01 08:07:12,153.15
2024-10-01 08:07:15,154.45
2024-10-01 08:07:18,149.41
2024-10-01 08:07:21,149.2
