fecha;receta;litros_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;mg_salida_salmuera;ph_salida_salmuera;est_salida_salmuera;peso_queso_total;sal_queso;est_kg_entrada;mg_kg_entrada;coef_recup_mp;coef_recup_mg;mp_kg_recuperado;mg_kg_recuperado;est_kg_recuperado;kg_queso_por_mg;kg_queso_por_est;kg_queso_estimado
2022-02-22;iqm  pequeño;9020;9404,95;13,389999999999999;5,18;4,06;4,15;6,56;6,47;6,39;1 kg;6,33;5,66;5,3;31,03;5,66;56,85;8760,12;1,32;1207,7779999999998;467,236;;;;;;;;
2022-02-22;oveja do 3 kg;9830;10241,07;14,92;6,19;4,88;3,85;6,6;6,5;6,46;3 kg;6,45;5,86;5,48;29,8;5,42;56,36;6052,3;1,52;1466,636;608,4770000000001;0,8947727160191319;0,8945393106493903;447,175384919492;567,0683573131422;526,031623919492;1902,9139507152424;933,3421290267778;933,3421290267778
2022-02-22;tierno 3 kg;14330;15059,58;13,03;4,84;3,78;4,41;6,59;6,38;6,28;3 kg;6,3;5,26;5,11;30,95;5,45;57,84;12532,0;1,64;1867,1989999999998;693,572;0,8969542336718844;0,8966883731637033;510,5931026485125;653,5815140712663;643,4185982485126;2111,7334864984373;1112,4111311350493;1112,4111311350493
2022-02-22;oveja do pequeño;6780;7506,26;14,93;6,18;4,89;3,86;6,6;6,5;6,46;1 kg;6,39;5,82;5,66;;;;4437,5;;1012,2539999999999;419,004;0,9003721486248656;0,9012459973178115;330,48710202807365;418,0761829932959;388,43542922807364;;;
2022-02-22;madurado pequeño;9520;10067,49;12,5;4,6;3,62;4,28;6,57;6,41;6,31;1 kg;6,2;5,64;5,16;31,54;5,4;57,47;14215,5;1,47;1190,0;437,92;0,9034544957634388;0,9034821926035763;329,2577914762354;418,4067052038706;415,4355058762354;1326,5906950027602;722,8736834456855;722,8736834456855
2022-02-22;wasabi 3 kg;12530;13081,65;13,830000000000002;5,42;4,04;4,37;6,57;6,47;;3 kg;6,46;5,93;5,65;;;;8158,0;;1732,8990000000003;679,1260000000001;0,9060543085948709;0,9056777464926518;478,84848797961575;642,1485536483833;593,1821089796158;;;
2022-02-23;cabra barra 4,2 kg;11520;11993,7;12,66;4,81;3,45;4,4;6,6;6,45;6,3;barra;6,15;5,25;;32,78;5,51;57,59;11501,0;1,24;1458,432;554,112;0,9083731834499255;0,9099952812501079;375,86906303684634;524,9735204674851;481,41362303684633;1601,5055535920835;835,9326671936903;835,9326671936903
2022-02-23;light barra 4,2 kg;11630;12157,65;10,5;2,51;3,44;4,55;6,59;6,5;6,46;barra;6,42;5,5;5,27;20,81;5,77;50,38;2797,3;1,53;1221,15;291,913;0,9124988854531719;0,9114283549447969;381,6281673707036;278,12875618131466;492,2627823707036;1336,514926387865;977,0996077227145;977,0996077227145
2022-02-23;light 3 kg;12330;12860,51;10,280000000000001;2,46;3,38;4,44;6,6;6,5;6,46;3 kg;6,44;5,42;5,23;20,34;5,44;50,85;1419,3;1,47;1267,5240000000001;303,318;0,9159431014101803;0,9145431059647301;398,1469450309424;289,33267268838557;512,3482738309424;1422,4811833253962;1007,5678934728463;1007,5678934728463
2022-02-23;tierno barra 4,2 kg;11030;11678,22;12,370000000000001;4,66;3,66;4,05;6,58;6,42;6,3;barra;6,29;5,3;5,1;31,48;5,49;56,86;5128,7;1,3;1364,411;513,998;0,9182786487241976;0,9178565697245823;392,4932789684027;499,50218225550793;487,0868609684027;1586,7286602779793;856,6423865079189;856,6423865079189
2022-02-23;madurado 3 kg;13530;13903,16;12,870000000000001;4,76;3,75;4,36;6,58;6,41;6,26;3 kg;6,3;5,34;5,16;30,71;5,35;56,03;17554,6;1,31;1741,3110000000001;644,0279999999999;0,9216823006074008;0,9214359038066192;480,5361185442297;609,7974500975184;601,7716737442297;1985,6641162406984;1074,0169083423696;1074,0169083423696
