fecha;receta;litros_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;mg_salida_salmuera;ph_salida_salmuera;est_salida_salmuera;peso_queso_total;sal_queso;est_kg_entrada;mg_kg_entrada;coef_recup_mp;coef_recup_mg;mp_kg_recuperado;mg_kg_recuperado;est_kg_recuperado;kg_queso_por_mg;kg_queso_por_est;kg_queso_estimado;rendimiento_simple;rendimiento_por_mg
2022-02-23;light 3 kg;12330;12860,51;10,280000000000001;2,46;3,38;4,44;6,6;6,5;6,46;3 kg;6,44;5,42;5,23;20,34;5,44;50,85;1419,3;1,47;1267,5240000000001;303,318;0,9159431014101803;0,9145431059647301;398,1469450309424;289,33267268838557;512,3482738309424;1422,4811833253962;1007,5678934728463;1007,5678934728463;8,687381103360812;8,667952971564532
2022-02-24;iqm  barra 3 kg;7500;7500,0;12,8;4,9;3,89;4,01;6,61;6,44;6,35;barra;6,27;5,37;5,2;32,13;5,4;57,42;1062,4;1,31;960,0;367,5;;;;;;;;;7,059487951807228;
2022-03-01;light 3 kg;13030;13867,37;10,41;2,47;3,43;4,51;6,6;6,48;6,4;barra;6,33;5,49;5,3;21,15;5,34;53,32;1536,0;1,17;1356,4229999999998;321,841;0,9146928901134992;0,9151010501521241;435,074396704562;313,4441077912472;560,158074104562;1482,0052377836746;1050,5590287032296;1050,5590287032296;8,483072916666666;8,792141665765127
2022-03-01;vaca barra 4,2 kg;14820;15810,99;12,85;5,03;3,97;3,85;6,56;6,44;6,38;barra;6,38;5,5;5,24;30,76;5,41;56,94;2351,0;1,55;1904,37;745,446;0,9701249876219508;0,9698525812580794;608,9438681782193;771,3167720264076;730,6884911782194;2507,5317686164094;1283,2604341029494;1283,2604341029494;6,3037005529561885;5,910194313580837
2022-03-04;oveja normal barra 4,2 kg;11890;12344,19;14,370000000000001;5,86;4,55;3,96;6,53;6,47;6,42;barra;6,39;5,8;5,51;;;;2051,0;;1708,593;696,7540000000001;0,978226887990108;0,9787065175771285;549,4315448648669;707,9664775425304;647,1975296648668;;;;5,797172111165286;
2022-03-04;vaca barra 4,2 kg;14020;14989,74;12,5;4,87;3,95;3,68;6,58;6,49;6,41;barra;;5,72;5,57;31,36;5,88;55,18;2266,0;1,77;1752,5;682,7740000000001;0,9693860596808838;0,9674152245280664;573,9683772725168;706,2134408918344;684,2928636725169;2251,9561252928393;1240,110300240154;1240,110300240154;6,18711385701677;6,225698557149674
2022-03-04;iqm+ 3 kg;13530;14131,77;13,61;5,2;4,11;4,3;6,56;6,4;6,31;3 kg;6,3;5,14;5,01;30,82;5,44;57,22;2397,0;1,02;1841,433;703,56;0,9722952462133302;0,9695751097893469;564,7243897339443;712,4942473619255;686,2576117339444;2311,791847378084;1199,3317227087457;1199,3317227087457;5,644555694618273;5,852603042676629
2022-03-08;light 3 kg;10660;11638,92;9,98;2,36;3,28;4,34;6,59;6,5;6,47;3 kg;6,44;5,34;5,15;19,97;5,34;50,26;1210,5;1,95;1063,868;251,576;0,9144417909786358;0,914722299454279;349,09416707531165;251,25456010731972;450,11999267531166;1258,1600405974948;895,582953989876;895,582953989876;8,806278397356465;8,472690004474797
2022-03-08;oveja normal barra 4,2 kg;13750;14268,52;15,04;6,1;4,74;4,2;6,55;6,46;6,4;barra;6,4;5,82;5,45;31,99;5,42;59,78;2656,0;1,32;2068,0;838,75;0,9786098438924276;0,977350417010544;661,8610897513817;850,6659822995205;781,7166577513817;2659,162182868148;1307,6558343114448;1307,6558343114448;5,176957831325301;5,170801573738302
2022-03-10;iqm sin lactosa;9490;10153,85;12,41;4,76;3,78;3,87;6,54;6,4;6,36;500 g;6,37;;;29,92;5,98;54,97;1439,0;1,79;1177,7089999999998;451,724;0,9561008990045902;0,9576773947039717;366,9663732849233;462,86776043663036;445,5571722849233;1547,0179158978287;810,5460656447577;810,5460656447577;6,594857539958304;6,1343827388659395
2022-03-11;iqm+ 3 kg;12030;12599,03;14,0;5,3;4,24;4,46;6,53;6,42;6,35;3 kg;6,29;;;30,89;5,36;57,99;1282,0;1,0;1684,2;637,59;0,972778734965683;0,9709162746611012;519,6573029242549;648,327973413003;632,0406505242548;2098,8280136387275;1089,913175589334;1089,913175589334;9,383775351014041;5,731770265036462
2022-03-15;iqm + barra 4,2 sin lactosa;15030;15397,16;13,469999999999999;5,12;4,05;4,3;6,55;6,36;;barra;6,3;5,46;5,32;30,63;5,41;57,81;2414,3;1,13;2024,5409999999997;769,5360000000001;;;;;;;;;6,225406950254731;
2022-03-15;oveja normal barra 4,2 kg;13830;14279,2;15,23;6,08;4,84;4,31;6,57;6,5;6,46;barra;6,37;5,76;5,27;30,82;5,41;58,02;2540,0;1,44;2106,3089999999997;840,8639999999999;0,9774742608071008;0,9782281688228124;675,5454425019709;849,273592629886;798,632146501971;2755,5924485070927;1376,47732937258;1376,47732937258;5,44488188976378;5,018884417212251
2022-03-17;tierno barra 3 kg;9520;9633,75;12,549999999999999;4,58;3,62;4,35;6,51;6,37;6,24;barra;6,28;5,28;5,01;29,58;5,35;56,87;1171,0;1,93;1194,7599999999998;436,01599999999996;0,9319545770065578;0,9331164324765165;325,01147010577677;411,71499775677535;408,82509510577677;1391,8694988396733;718,8765519707698;718,8765519707698;8,129803586678053;6,839721689379868
2022-03-18;iqm + barra 4,2 sin lactosa;14530;14642,42;12,989999999999998;5,1;3,87;4,02;6,57;6,47;6,42;barra;6,36;5,36;5,25;;;;2250,0;;1887,447;741,03;;;;;;;;;6,457777777777777;
2022-03-25;vaca barra 4,2 kg;13230;13011,79;12,370000000000001;4,83;3,84;3,7;6,57;6,47;6,42;barra;6,37;5,8;5,51;31,63;5,48;57,1;1867,0;1,32;1636,5510000000002;639,009;0,9694563730336764;0,9673111690184175;484,39152921891304;607,9255251430401;580,6787752189131;1921,990278669112;1016,9505695602679;1016,9505695602679;7,086234600964113;6,883489550821846
2022-03-29;light 3 kg;12630;13011,79;10,219999999999999;2,44;3,33;4,45;6,58;6,48;6,42;3 kg;6,4;5,4;5,19;20,1;5,39;;1385,0;1,8;1290,7859999999998;308,172;0,9154757903145782;0,914876002321734;396,668891830789;290,46185580529794;512,473822830789;1445,0838597278503;;;9,11913357400722;8,739977209612308
