fecha_index;fecha;receta;litros_past;kg_cuba;est_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_final_moldeo_cuba;formato;est_salida_salmuera;mg_salida_salmuera;ph_salida_salmuera;peso_queso_total;sal_queso;densidad;densidad_original;densidad_ajustada;litros_past_ajustado
2022-02-23;23/02/2022;bajo mg;12330;12860,51;10,28;2,46;3,38;4,44;6,46;3 kg;50,85;20,34;5,44;1419,3;1,47;1,0430259529602595;1,0430259529602595;1,03888150754897;12379,188489303042
2022-02-24;24/02/2022;mezcla;7500;7704,462;12,8;4,9;3,89;4,01;6,35;barra;59,42;32,13;5,4;1062,4;1,31;1,0272616;1,0272616;1,0354311663557634;7440,82489531016
2022-03-01;01/03/2022;bajo mg;13030;13867,37;10,41;2,47;3,43;4,51;6,4;barra;52,1;21,15;5,34;1536,0;1,17;1,0642647735993862;1,0642647735993862;1,0601203281880967;13080,939617204964
2022-03-01;01/03/2022;vaca;14820;15810,99;12,85;5,03;3,97;3,85;6,38;barra;55,94;30,5;5,41;2351,0;1,55;1,0668684210526316;1,0668684210526316;1,0606531885554091;14906,842472735398
2022-03-04;04/03/2022;oveja;11890;12344,19;14,37;5,86;4,55;3,96;6,42;barra;57,6;31,99;5,42;2051,0;;1,0381993271656855;1,0381993271656855;1,0499533086670798;11756,894233393105
2022-03-04;04/03/2022;vaca;14020;14989,74;12,5;4,87;3,95;3,68;6,41;barra;54,58;29,8;5,88;2266,0;1,77;1,0691683309557773;1,0691683309557773;1,062953098458555;14101,97686213759
2022-03-04;04/03/2022;mezcla;13530;14131,77;13,61;5,2;4,11;4,3;6,31;3 kg;52,65;28,8;5,44;2397,0;1,02;1,0444767184035477;1,0444767184035477;1,052646284759311;13424,993945835518
2022-03-08;08/03/2022;bajo mg;10660;11638,92;9,98;2,36;3,28;4,34;6,47;3 kg;50,26;19,97;5,34;1210,5;1,95;1,0918311444652908;1,0918311444652908;1,0876866990540013;10700,618119282668
2022-03-08;08/03/2022;oveja;13750;14268,52;15,04;6,1;4,74;4,2;6,4;barra;53,78;29,85;5,42;2656,0;1,32;1,0377105454545454;1,0377105454545454;1,0494645269559397;13596,00027776741
2022-03-10;10/03/2022;mezcla;9490;10153,85;12,41;4,76;3,78;3,87;6,36;500 g;54,6;29,92;5,98;1439,0;1,79;1,0699525816649105;1,0699525816649105;1,0781221480206737;9418,088681919271
