fecha;dia_semana;semana;entrada_kg;entrada_litros;entrada_grasa_g_l;entrada_prot_g_l;envio_fab_litros;envio_fab_grasa_g_l;envio_fab_prot_g_l;ratio_perdida_mg;ratio_perdida_mp;ratio_inc_agua;stock_cierre_litros
31/12/2023;Domingo;1;5297;5143;34,4;33,41;0;0,0;0,0;0,0;0,0;0,0;5143
01/01/2024;Lunes;1;4504;4373;37,2;31,25;5032;34,09;30,79;0,03862;0,04429;0,00648;4516
02/01/2024;Martes;1;5226;5074;38,71;32,8;5017;35,96;31,1;0,03226;0,04346;0,00348;4590
03/01/2024;Miércoles;1;4909;4766;38,28;31,59;5027;35,96;30,32;0,04321;0,05022;0,00546;4356
04/01/2024;Jueves;1;5731;5564;36,56;31,2;5028;35,53;29,84;0,03703;0,05015;0,00561;4920
05/01/2024;Viernes;1;0;0;0,0;0,0;4944;35,45;29,98;0,03985;0,04642;0,00497;0
06/01/2024;Sábado;1;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
07/01/2024;Domingo;2;5211;5059;36,33;31,79;0;0,0;0,0;0,0;0,0;0,0;5059
08/01/2024;Lunes;2;5098;4950;36,22;32,59;5024;34,82;30,9;0,03553;0,03552;0,0049;5009
09/01/2024;Martes;2;5018;4872;36,16;30,49;5022;34,47;29,97;0,04406;0,03987;0,00449;4881
10/01/2024;Miércoles;2;4869;4727;36,78;31,09;5031;34,64;29,7;0,04499;0,04292;0,00615;4608
11/01/2024;Jueves;2;5250;5097;35,6;30,95;5022;34,39;29,79;0,04117;0,03726;0,00434;4705
12/01/2024;Viernes;2;0;0;0,0;0,0;4732;34,17;29,53;0,04586;0,04425;0,00565;0
13/01/2024;Sábado;2;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
14/01/2024;Domingo;3;4895;4752;38,42;31,19;0;0,0;0,0;0,0;0,0;0,0;4752
15/01/2024;Lunes;3;5045;4898;39,18;31,54;5028;37,13;30,1;0,03786;0,035;0,00551;4650
16/01/2024;Martes;3;5291;5137;37,31;31,91;5024;36,55;30,2;0,03398;0,04129;0,00475;4787
17/01/2024;Miércoles;3;5170;5019;36,03;32,99;5026;35,5;30,72;0,03563;0,0451;0,00527;4806
18/01/2024;Jueves;3;4977;4832;37,24;30,48;5024;35,59;30,2;0,03659;0,03368;0,0048;4638
19/01/2024;Viernes;3;0;0;0,0;0,0;4652;35,77;30,01;0,03362;0,04167;0,00295;0
20/01/2024;Sábado;3;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
21/01/2024;Domingo;4;5115;4966;37,88;30,6;0;0,0;0,0;0,0;0,0;0,0;4966
22/01/2024;Lunes;4;5550;5388;35,65;31,33;5019;35,26;29,52;0,03602;0,04339;0,00383;5354
23/01/2024;Martes;4;5328;5173;38,97;34,32;5026;35,92;31,36;0,04541;0,03368;0,00517;5527
24/01/2024;Miércoles;4;5508;5348;34,76;31,47;5026;34,71;30,73;0,0393;0,03628;0,00525;5875
25/01/2024;Jueves;4;4589;4455;33,79;32,11;5029;33,75;30,86;0,03645;0,03246;0,00573;5330
26/01/2024;Viernes;4;0;0;0,0;0,0;5354;33,66;30,61;0,04015;0,04143;0,00445;0
27/01/2024;Sábado;4;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
28/01/2024;Domingo;5;4714;4577;37,2;32,18;0;0,0;0,0;0,0;0,0;0,0;4577
29/01/2024;Lunes;5;5069;4921;34,77;34,28;5017;34,47;31,89;0,03773;0,03793;0,00348;4498
30/01/2024;Martes;5;5124;4975;35,07;32,52;5030;34,11;31,25;0,03289;0,0437;0,00593;4473
31/01/2024;Miércoles;5;5339;5183;36,95;32,99;5019;34,66;31,58;0,04077;0,0375;0,00379;4656
01/02/2024;Jueves;5;4883;4741;37,03;33,08;5023;35,04;31,87;0,03962;0,03009;0,00452;4397
02/02/2024;Viernes;5;0;0;0,0;0,0;4420;35,13;31,26;0,03653;0,04797;0,00533;0
03/02/2024;Sábado;5;0;0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0
04/02/2024;Domingo;6;4518;4386;37,42;31,46;0;0,0;0,0;0,0;0,0;0,0;4386
05/02/2024;Lunes;6;4936;4792;37,29;32,87;5027;35,58;30,88;0,04241;0,03553;0,00549;4178
06/02/2024;Martes;6;5273;5119;33,9;30,43;5030;34,1;29,67;0,03228;0,04407;0,00603;4297
07/02/2024;Miércoles;6;4855;4714;36,7;32,91;5033;34,26;30,49;0,0448;0,04402;0,00668;4011
08/02/2024;Jueves;6;5085;4937;38,75;32,3;5026;35,82;30,99;0,04149;0,03302;0,00526;3948
