semana_iso;receta;total_est_kg_cuba;total_mg_kg_cuba;total_esm_kg_cuba;total_est_kg_queso;total_mg_kg_queso;total_esm_kg_queso;total_balance_est;total_balance_mg;total_balance_esm
2022-W08;light;1322,060428;316,368546;1005,6918820000001;721,71405;288,68562;433,02843000000007;-600,346378;-27,68292600000001;-572,663452
2022-W08;mezcla;986,1711360000002;377,51863800000007;608,6524980000002;631,27808;341,34912;289,92896;-354,8930560000001;-36,16951800000004;-318,72353800000013
2022-W09;light;1443,593217;342,5240390000001;1101,069178;800,2560000000001;324,864;475,3920000000001;-643,337217;-17,660039000000097;-625,6771779999999
2022-W09;mezcla;1923,333897;734,85204;1188,481857;1262,0205;690,336;571,6845000000001;-661,3133969999999;-44,516039999999975;-616,7973569999999
2022-W09;oveja;1773,860103;723,3695340000002;1050,4905689999998;1181,376;656,1148999999999;525,2611;-592,484103;-67,25463400000024;-525,2294689999998
2022-W09;vaca;3905,4297149999998;1525,293135;2380,13658;2551,9322;1392,3229999999999;1159,6091999999999;-1353,4975149999998;-132,97013500000003;-1220,52738
2022-W10;i+D;1763,8642000000002;602,233634;1161,6305660000003;709,9069999999999;373,769;336,1379999999999;-1053,9572000000003;-228,46463400000005;-825,4925660000004
2022-W10;light;1161,564216;274,67851199999996;886,885704;608,3973;241,73684999999998;366,66044999999997;-553,166916;-32,94166199999998;-520,2252540000001
2022-W10;mezcla;1260,092785;483,32326;776,769525;785,6940000000001;430,5488;355,14520000000005;-474,398785;-52,774459999999976;-421,624325
2022-W10;oveja;2145,985408;870,3797199999999;1275,605688;1428,3968;792,816;635,5808;-717,588608;-77,56371999999988;-640,0248880000001
2022-W11;i+D;1209,035625;441,22574999999995;767,809875;609,0776999999999;338,1147;270,9629999999999;-599,957925;-103,11104999999992;-496,8468750000001
2022-W11;mezcla;3976,04781;1535,098012;2440,9497980000006;2568,90795;1426,87509;1142,03286;-1407,1398600000002;-108,22292199999981;-1298,9169380000003
2022-W11;oveja;2174,7221600000003;868,1753600000001;1306,5468;1422,9080000000001;782,828;640,0800000000002;-751,8141600000001;-85,3473600000001;-666,4667999999999
2022-W12;vaca;1609,558423;628,469457;981,0889659999999;1010,047;571,8620999999999;438,1849000000001;-599,5114229999999;-56,60735700000009;-542,9040659999998
2022-W13;light;1329,8049380000002;317,487676;1012,3172620000003;701,7795;278,38500000000005;423,39449999999994;-628,0254380000002;-39,102675999999974;-588,9227620000004
2022-W13;vaca;2009,2967999999998;784,58256;1224,7142399999998;1283,3436;689,8311;593,5124999999999;-725,9531999999999;-94,75145999999995;-631,2017399999999
2022-W14;light;1488,55671;348,2004;1140,3563100000001;817,1532;342,6034;474,54979999999995;-671,4035100000001;-5,59699999999998;-665,8065100000001
2022-W14;oveja;1632,62682;668,4424960000001;964,1843239999998;1101,3395;604,81;496,5295000000001;-531,2873199999999;-63,632496000000174;-467,65482399999973
2022-W14;vaca;2084,564692;797,9588599999998;1286,6058320000002;1305,0798000000002;704,0346000000001;601,0452000000001;-779,4848919999997;-93,92425999999978;-685,560632
2022-W15;i+D;1215,215655;444,74863;770,4670249999999;486,30400000000003;244,8576;241,44640000000004;-728,9116549999999;-199,89103;-529,0206249999999
